,,,,,,,,,,,,SAMPLE,SEX,AGE,,,,,REPORTING STANDARDS,,,,,,,,,,,,,,,,TRANSFORMATION,,,,,,,,,,,,,,,"13 participants were excluded due to non-learning (age / gender unclear). I used the final n=60 that they report in the paper; transformation level: ""To standardize the data, means and standard deviations from the first day were used to calculate within-participant Z-scores."" I indicated trial-level, same for out-lier removal:""To standardize the data, means and standard deviations from the first day were used to calculate within-participant Z-scores."" - only trial makes sense  ",,
"Dunsmoor, Joseph E. and Otto, A. Ross and Phelps, Elizabeth A.",2017,10.1073/pnas.1704428114,Stress promotes generalization of older but not recent threat memories,PNAS Proceedings of the National Academy of Sciences of the United States of America,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2017-38196-006&site=ehost-live,Stress;Pavlovian conditioning;Threat;generalization;Memory;associative learning;stress;memory;Cognitive Generalization;Conditioned Emotional Responses,no,no,no,no,CD,89,NA,NA,NA,unclear,group,NA,not reported,NA,NA,not reported,NA,yes,not reported,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,"rc, sqrt",NA,NA,NA,"Raw SCR scores were range corrected by dividing each value by the subject’s maximum response during that phase of the task, then square-root transformed",no,NA,not reported,mixed,2,ANOVA,rmANOVA,12,2 experiments; N without exclusion: 77
"Cheng, Dominic T. and Knight, David C. and Smith, Christine N. and Helmstetter, Fred J.",2006,10.1037/0735-7044.120.5.1187,Human amygdala activity during the expression of fear responses,Behavioral Neuroscience,https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2006-22387-001&site=ehost-live,"Emotions;Humans;Galvanic Skin Response;Male;Adolescent;Fear;Animals;Adult;Amygdala;Brain Mapping;Magnetic Resonance Imaging;fMRI;Conditioning, Classical;Analysis of Variance;Image Processing, Computer-Assisted;Oxygen;Photic Stimulation;fear conditioning;amygdala;Memory;emotion;memory;Conditioned Emotional Responses;Electric Stimulation;Expressed Emotion;Humanism;Humanities",no,no,no,no,CD,13,9,22.38,13.70109485,unclear,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,not reported,NA,NA,NA,NA,NA,NA,NA,within,2,ANOVA,rmANOVA,12,"experiment 1 is a combination of trace and delay conditioning and thus NOT extracted; Age SD was not provided and calculated from SEM; no SCR transformation is reported - raw or ""not reported""? "
"Chalkia, Anastasia and Schroyens, Natalie and Leng, Lu and Vanhasbroeck, Niels and Zenses, Ann-Kathrin and Van Oudenhove, Lukas and Beckers, Tom",2020,10.1016/j.cortex.2020.04.017,No persistent attenuation of fear memories in humans: A registered replication of the reactivation-extinction effect,Cortex: A Journal Devoted to the Study of the Nervous System and Behavior,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2020-45356-001&site=ehost-live,Humans;Extinction;Fear learning;Conditioned Fear;Memory;Extinction (Learning);Memory Trace;Human Information Storage;Reconsolidation;Humanism;Humanities;Memory Training;Memory reactivation;Memory updating,yes,no,yes,yes,CD,246,NA,NA,NA,yes,group,NA,not reported,NA,NA,not reported,NA,yes,not reported,not reported,NA,not reported,NA,not reported,NA,yes,trials,Z > 3,NA,NA,NA,NA,"analysis 1: rc, sqrt; analysis 2: z",NA,NA,NA,analysis 1: sqrt(SCR)/individual mean(SQRT(US_response)); analysis 2:z-scoring using first testing session,yes,"analysis 1: adhering to original study for replication; analysis 2: Milad, M. R., Orr, S. P., Pitman, R. K., & Rauch, S. L. (2005). Context modulation of memory for fear extinction in humans. Psychophysiology, 42(4), 456e464. https://doi.org/10.1111/j.14698986.2005.00302.x.; Pitman & Orr. (1986). Test of the conditioning model of neurosis: Differential aversive conditioning of angry and neutral facial expressions in anxiety disorder patients. Journal of Abnormal Psychology, 95(3), 208e213. https://doi.org/10.1037//0021843x.95.3.208.","analysis 1: not reported, analysis 2: trial-level",mixed,2,ANOVA,rmANOVA,12,"N without exclusions: 124, exclusions were replaced until preregistered sample size was reached, ""Raw SCR data were square-root transformed, and those values were further range-corrected for each participant by dividing the value by that participant’s mean square-root transformed US response.""; age range 17-45"
"Das, Ravi K. and Kamboj, Sunjeev K. and Ramadas, Mayurun and Yogan, Kishoj and Gupta, Vivek and Redman, Emily and Curran, H. Valerie and Morgan, Celia J. A.",2013,10.1007/s00213-012-2955-y,Cannabidiol enhances consolidation of explicit fear extinction in humans,Psychopharmacology,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2013-12417-013&site=ehost-live,"Female;Humans;Time Factors;Male;Extinction, Psychological;Fear;Conditioning, Classical;Extinction (Learning);Cannabinoids;Memory Consolidation;fear memory;extinction learning;Electroshock;Double-Blind Method;Chemical Exposure;Electroconvulsive Shock;electric shocks;Cannabidiol;Humanism;Humanities;memory consolidation;cannabidiol effects",no,no,no,no,CD,48,18,NA,NA,partially,group,NA,not reported,NA,NA,not reported,NA,yes,not reported,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,not reported,NA,NA,NA,NA,NA,NA,NA,mixed,4,ANOVA,rmANOVA,12,"N for SCR without exclusion: 42; ""no history of serious mental or physical health problems, no substance misuse problems,"" scored as partially; age range from inclusion criteria: 18-35"
"Dittert, Natalie and Hüttner, Sandrina and Polak, Thomas and Herrmann, Martin J.",2018,10.3389/fnbeh.2018.00076,Augmentation of fear extinction by transcranial direct current stimulation (tDCS),Frontiers in Behavioral Neuroscience,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2018-20843-001&site=ehost-live,Fear;fear conditioning;Skin Resistance;Aversion Conditioning;Prefrontal Cortex;tDCS;Transcranial Direct Current Stimulation;Brain Stimulation;brain stimulation;skin conduction response;ventromedial prefrontal cortex,no,no,no,no,CD,131,NA,NA,NA,yes,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,z,NA,NA,NA,z-scoring ,yes,"Boucsein, W., Fowles, D. C., Grimnes, S., Ben-Shakhar, G., Roth, W. T., Dawson, M. E., et al. (2012). Publication recommendations for electrodermal measurements. Psychophysiology 49, 1017–1034. doi: 10.1111/j.1469-8986.2012.01384.x Ben-Shakhar, G. (1985). Standardization within individuals: a simple method to neutralize individual differences in skin conductance. Psychophysiology 22, 292–299. doi: 10.1111/j.1469-8986.1985.tb01603.x",other,mixed,2,generalized estimating equation model (GEE),other,12,"N without exclusions: 84; SCR analysis using PsPM using regressors spanning 2 subsequent trials (thus, also z-scoring over 2-trial averages); unsure about statistical main test (GEE)"
"Dunsmoor, Joseph E. and Mitroff, Stephen R. and LaBar, Kevin S.",2009,10.1101/lm.1431609,Generalization of conditioned fear along a dimension of increasing fear intensity,Learning & Memory,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2009-19688-009&site=ehost-live,"Female;Humans;Galvanic Skin Response;Male;Adolescent;Fear;Adult;Young Adult;Conditioning, Classical;Association Learning;Analysis of Variance;Reaction Time;Photic Stimulation;fear conditioning;Threat;Skin Resistance;Conditioned Fear;generalization;Stimulus Generalization;Conditioned Stimulus;Facial Expression;skin conductance responses;conditioned stimulus;Electroshock;Generalization (Psychology);Pattern Recognition, Visual;increasing fear intensity",no,no,no,no,CD,83,NA,NA,NA,yes,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt,NA,NA,NA,sqrt(SCR),no,NA,trial-level,within,2,t-test,ttest,12,"N without exclusions: 71; ""SCRs were square-root transformed and averaged for each participant."" interpreted as trial-level; statistics not described, just inferred frmo t-value"
"Dunsmoor, Joseph E. and Kragel, Philip A. and Martin, Alex and LaBar, Kevin S.",2014,10.1093/cercor/bht138,Aversive learning modulates cortical representations of object categories,Cerebral Cortex,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2014-45113-005&site=ehost-live,"Female;Humans;Male;Adolescent;Fear;Adult;Amygdala;Young Adult;Brain Mapping;Learning;Magnetic Resonance Imaging;functional magnetic resonance imaging;Analysis of Variance;Image Processing, Computer-Assisted;Oxygen;Photic Stimulation;fear conditioning;anxiety;Anxiety;Conditioned Fear;generalization;Functional Magnetic Resonance Imaging;Cerebral Cortex;Avoidance Learning;Psychophysics;Conditioning (Psychology);Pattern Recognition, Visual;categories and concepts;Fusiform Gyrus",no,no,no,no,CD,34,NA,NA,NA,unclear,both,shock expectancy,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt,NA,NA,NA,sqrt(SCR),no,NA,not reported,mixed,2,ANOVA,rmANOVA,12,N for SCR without exclusions: 30; age range 18-37; SCRs were square-root transformed for normalization prior to statistical analysis
"de Voogd, Lycia D. and Fernández, Guillén and Hermans, Erno J.",2016,10.1016/j.neuroimage.2016.04.026,Awake reactivation of emotional memory traces through hippocampal–neocortical interactions,NeuroImage,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2016-31734-054&site=ehost-live,Emotions;Amygdala;Hippocampus;Fear conditioning;Arousal;Conditioned Fear;Memory;Brain Connectivity;Representational similarity analysis;Resting-state functional connectivity,no,no,no,no,CD,31,NA,NA,NA,yes,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw,Pupil diameter for each trial was normalized by dividing the signal with the average of 1 s pre-stimulus onset baseline. The averaged baseline-corrected pupil diameter within a 1 to 5 s window during picture presentation was used as response measure.,NA,NA,NA,mixed,2,ANOVA,rmANOVA,12,"N who completed experiment: 24 (12 female, mean age 23.25, SD not reported); I didn't count the baseline normalization as transformation, can be discussed"
"Dunsmoor, Joseph E. and White, Allison J. and LaBar, Kevin S.",2011,10.1101/lm.2016411,Conceptual similarity promotes generalization of higher order fear learning,Learning & Memory,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2011-03478-003&site=ehost-live,"Female;Humans;Galvanic Skin Response;Male;Psychiatric Status Rating Scales;Statistics as Topic;Adolescent;Fear;Young Adult;Conditioning, Classical;Cues;Analysis of Variance;Reaction Time;Conditioned Fear;Generalization (Psychology);Response Generalization;Concepts;conceptual similarity;conditioned fear generalization;higher order fear learning",no,no,no,no,CD,113,NA,NA,NA,partially,both,higher order fear learning,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,yes,subjects,fear generalization score Mean +/- 3 SD,NA,NA,NA,NA,sqrt,NA,NA,NA,sqrt(SCR),no,NA,not reported,mixed,2,ANOVA,rmANOVA,12,N without exclusions: 89 (30 female; mean age + SEM: 19.05 + 0.1; age range 18– 23)
"Delgado, Mauricio R. and Jou, Rita L. and LeDoux, Joseph E. and Phelps, Elizabeth A.",2009,10.3389/neuro.08.033.2009,Avoiding negative outcomes: Tracking the mechanisms of avoidance learning in humans during fear conditioning,Frontiers in Behavioral Neuroscience,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2009-24785-001&site=ehost-live,Humans;Amygdala;fear conditioning;amygdala;Conditioned Fear;Striatum;striatum;Avoidance Learning;humans;Avoidance Conditioning;Humanism;Humanities;avoidance learning;negative outcomes,no,no,no,no,CD,32,19,19.8,2.2,not reported,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt,NA,NA,NA,sqrt(raw SCR),yes,"LaBar, K. S., Gatenby, J. C., Gore, J. C., LeDoux, J. E., and Phelps, E.A. (1998). Human amygdala activation during conditioned fear acquisition and extinction: a mixed-trial fMRI study. Neuron 20, 937–945.",trial-level,within,2,ANOVA,rmANOVA,12,N without exclusion: 23
"Dunsmoor, Joseph E. and Bandettini, Peter A. and Knight, David C.",2007,10.1037/0735-7044.121.4.635,Impact of continuous versus intermittent CS-UCS pairing on human brain activation during Pavlovian fear conditioning,Behavioral Neuroscience,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2007-11112-001&site=ehost-live,"Emotions;Female;Humans;Time Factors;Galvanic Skin Response;Male;Fear;Adult;Brain;Brain Mapping;Magnetic Resonance Imaging;Conditioning, Classical;Analysis of Variance;Image Processing, Computer-Assisted;Oxygen;Middle Aged;Acoustic Stimulation;Pavlovian conditioning;Conditioned Fear;Uncertainty;Classical Conditioning;Conditioned Stimulus;Unconditioned Stimulus;emotion;fear;Reinforcement Schedules;uncertainty;Area Under Curve;Dose-Response Relationship, Radiation;Functional Laterality;Humanism;Humanities;functional MRI;conditioned stimulus unconditioned stimulus pairing;human brain",no,no,no,no,CD,18,11,30.17,6.491240251,unclear,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt,NA,NA,NA,sqrt(SCR),no,NA,trial-level,within,not reported,ANOVA,rmANOVA,12,age SD calculated from SEM; precise ANOVA factor levels unclear
Dunsmoor JE and Martin A and LaBar KS,2012,10.1016/j.biopsycho.2011.11.002,Role of conceptual knowledge in learning and retention of conditioned fear.,Biological psychology,https://pubmed.ncbi.nlm.nih.gov/22118937/,"Female;Humans;Male;Adolescent;Young Adult;Photic Stimulation;Fear/*physiology;Galvanic Skin Response/physiology;Association Learning/*physiology;Conditioning, Psychological/*physiology;Retention, Psychology/*physiology;*Knowledge;Concept Formation/physiology",no,no,no,no,CD,26,12,NA,NA,unclear,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt,NA,NA,NA,sqrt(SCR),no,NA,trial-level,mixed,not reported,ANOVA,rmANOVA,12,"N without exclusions: 24; median age: 19; ""SCRs were square root transformed for normalization prior to statistical analysis."" scored as trial-level; likely a 2 (CS)-by-2(group)-ANOVA but it is not clearly specified"
