,,,,,,,,,,,,SAMPLE,SEX,AGE,,,,,REPORTING STANDARDS,,,,,,,,,,,,,,,,TRANSFORMATION,,,,,,,,,,,,,,,,,
"Schultz, Douglas H. and Helmstetter, Fred J.",2010,10.1037/a0020263,Classical conditioning of autonomic fear responses is independent of contingency awareness,Journal of Experimental Psychology: Animal Behavior Processes,https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2010-21866-002&site=ehost-live,"Female;Humans;Autonomic Nervous System;Galvanic Skin Response;Male;Adolescent;Fear;Adult;Young Adult;Conditioning, Classical;Association Learning;Analysis of Variance;Awareness;Photic Stimulation;fear conditioning;skin conductance;Skin Resistance;Conditioned Fear;contingency awareness;Perceptual Masking;awareness;autonomic fear responses;contingencies;Field Dependence-Independence;Knowledge of Results (Psychology)",no,no,no,no,CD,32,19,19.3,0.25,not reported,group,,not reported,,not reported,not reported,,not reported,,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,NA,raw,NA,NA,NA,baseline corrected,no,NA,trial-level,mixed,one,ANOVA,rmANOVA,3,
"Schroyens, Natalie and Beckers, Tom and Kindt, Merel",2017,,In search for boundary conditions of reconsolidation: A failure of fear memory interference,Frontiers in Behavioral Neuroscience,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2017-18004-001&site=ehost-live,Fear;Learning;Memory;fear memory;reconsolidation;Phobias;boundary conditions;contextual novelty;destabilization,no,no,no,no,CD,40,30,21.1,2.1,not reported,group,,not reported,,not reported,not reported,,not reported,,not reported,,not reported,,not reported,,yes,trials,Z>3,NA,NA,NA,z,NA,NA,NA,NA,"Z scores were calculated based on the average of all startle responses over all phases within subject, excluding habituation trials. Missings were excluded.",no,NA,trial-level,mixed,two,ANOVA,rmANOVA,3,
"Seligowski, Antonia V. and Merker, Julia B. and Swiercz, Adam P. and Park, Jeanie and Marvar, Paul J. and Ressler, Kerry J. and Jovanovic, Tanja",2020,10.1016/j.jpsychires.2020.02.024,Examining the cardiovascular response to fear extinction in a trauma-exposed sample,Journal of Psychiatric Research,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2020-22107-012&site=ehost-live,Risk Factors;Heart Rate;Fear extinction;Trauma;Conditioned Fear;Extinction (Learning);Conditioned Stimulus;Posttraumatic Stress Disorder;Exposure;Bradycardia;Cardiovascular Disorders;Heart rate;Biological Markers;bradycardia;Cardiovascular risk,no,no,no,no,LD,51,51,38.82,11.91,not reported,individual,HRV,not reported,,not reported,not reported,,not reported,,not reported,,not reported,,not reported,,no,NA,,raw,log,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within,two,ANOVA,rmANOVA,3,
Soeter M and Kindt M,2010,10.1016/j.nlm.2010.03.004,Dissociating response systems: erasing fear from memory.,Neurobiology of learning and memory,https://pubmed.ncbi.nlm.nih.gov/20381628/,"Female;Humans;Time Factors;Male;Adolescent;Adult;Young Adult;Discrimination, Psychological;Middle Aged;Memory;Follow-Up Studies;Heart Block;Fear/*drug effects/physiology;Propranolol/*pharmacology;Reflex, Startle/drug effects;Galvanic Skin Response/drug effects;Memory/*drug effects/physiology;Central Nervous System Agents/*pharmacology;Conditioning, Classical/*drug effects/physiology;Extinction, Psychological/drug effects/physiology",no,no,no,no,CD,60,45,20.4,3.8,yes,group,,not reported,,not reported,not reported,,not reported,,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,raw,sqrt,NA,NA,NA,NA,NA,NA,trial-level,mixed,two,ANOVA,rmANOVA,3,
"Schiller, Daniela and Levy, Ifat and Niv, Yael and LeDoux, Joseph E. and Phelps, Elizabeth A.",2008,10.1523/JNEUROSCI.2265-08.2008,From fear to safety and back: Reversal of fear in the human brain,The Journal of Neuroscience,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2008-16235-012&site=ehost-live,"Female;Humans;Galvanic Skin Response;Male;Adolescent;Extinction, Psychological;Fear;Adult;Amygdala;Brain;Brain Mapping;Magnetic Resonance Imaging;Conditioning, Classical;functional magnetic resonance imaging;Analysis of Variance;Image Processing, Computer-Assisted;Oxygen;fear conditioning;amygdala;Threat;Conditioned Fear;Safety;Striatum;striatum;safety;Reversal Learning;Humanism;Humanities;threats",no,no,no,no,LD,22,13,,,not reported,group,,not reported,,not reported,not reported,,not reported,,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,NA,raw,NA,NA,NA,NA,NA,NA,NA,within,one,t-test,ttest,3,
Straube T and Trippe R and Schmidt S and Weiss T and Hecht H and Miltner WH,2011,10.1037/a0021157,Dissociation of acquisition and expression of fear conditioned responses under working memory load.,"Emotion (Washington, D.C.)",https://pubmed.ncbi.nlm.nih.gov/21401243/,"Attention;Female;Humans;Galvanic Skin Response;Male;Adult;Young Adult;Association Learning;Memory, Short-Term;*Conditioning, Psychological;Dissociative Disorders;Heart Block;Fear/physiology/*psychology;*Memory, Short-Term",no,no,no,no,CD,40,26,22.3,,not reported,group,,not reported,,not reported,not reported,,yes,Greenhouse-Geisser correction,not reported,,not reported,,not reported,,yes,subjects,NA,NA,NA,NA,NA,log,NA,NA,NA,range-corrected by dividing individual scores by the participants' maximum responses,yes,NA,trial-level,mixed,two,ANOVA,rmANOVA,3,
"Schultz, Douglas H. and Balderston, Nicholas L. and Helmstetter, Fred J.",2012,10.3389/fnhum.2012.00242,Resting-state connectivity of the amygdala is altered following Pavlovian fear conditioning,Frontiers in Human Neuroscience,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2012-25168-001&site=ehost-live,Fear;Amygdala;amygdala;Memory;Classical Conditioning;Neuroimaging;Human Information Storage;Pavlovian fear conditioning;neural plasticity;Neural Plasticity;Rest;memory storage;neuroimaging studies;resting state functional connectivity,no,no,no,no,LD,32,15,22,NA,not reported,both,,not reported,,not reported,not reported,,not reported,,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,NA,raw,NA,NA,NA,NA,NA,NA,NA,within,two,ANOVA,rmANOVA,3,
"Spoormaker, V. I. and Andrade, K. C. and Schröter, M. S. and Sturm, A. and Goya-Maldonado, R. and Sämann, P. G. and Czisch, M.",2011,10.1016/j.neuroimage.2010.09.042,The neural correlates of negative prediction error signaling in human fear conditioning,NeuroImage,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2010-22201-001&site=ehost-live,"Humans;Galvanic Skin Response;Male;Extinction, Psychological;Fear;Adult;Young Adult;Brain;Brain Mapping;Magnetic Resonance Imaging;fMRI;Photic Stimulation;fear conditioning;Conditioned Fear;Evoked Potentials;Functional Magnetic Resonance Imaging;Prediction Errors;Color;Electric Stimulation;Conditioning (Psychology);Data Interpretation, Statistical;Psychomotor Performance;Neuropsychology;classical conditioning;Algorithms;Humanism;Humanities;neural correlates;Feedback, Psychological;Electrophysiological Phenomena;negative prediction errors;temporal difference",no,no,no,no,LD,40,0,24.2,3.2,yes,group,,not reported,,not reported,not reported,,yes,Greenhouse-Geisser correction,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,NA,sqrt,NA,NA,NA,SCR were scaled to each subject's maximal US response.,yes,o account for interindividual SCR variability.,trial-level,within,two,t-test,ttest,3,
Soeter M and Kindt M,2011,10.1101/lm.2148511,Disrupting reconsolidation: pharmacological and behavioral manipulations.,"Learning & memory (Cold Spring Harbor, N.Y.)",https://pubmed.ncbi.nlm.nih.gov/21576515/,"Female;Humans;Male;Psychiatric Status Rating Scales;Adolescent;Adult;Young Adult;Analysis of Variance;Reflex, Startle/drug effects;Fear/drug effects;Galvanic Skin Response/drug effects;Conditioning, Classical/drug effects;Saliva/chemistry;Blood Pressure/drug effects;Adrenergic beta-Antagonists/*adverse effects;alpha-Amylases/metabolism;Electric Stimulation/adverse effects;Extinction, Psychological/drug effects;Generalization, Psychological/drug effects;Memory Disorders/*chemically induced/*physiopathology;Propranolol/*adverse effects;Stress, Psychological/chemically induced",no,no,no,no,CD,40,29,21.8,3.1,yes,group,,not reported,,not reported,not reported,,not reported,,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,raw,sqrt,NA,NA,NA,The raw SCR scores were square-root,yes,to normalize the data,trial-level,within,two,rmANOVA,rmANOVA,3,
Tabbert K and Merz CJ and Klucken T and Schweckendiek J and Vaitl D and Wolf OT and Stark R,2011,10.1093/scan/nsq070,"Influence of contingency awareness on neural, electrodermal and evaluative responses during fear conditioning.",Social cognitive and affective neuroscience,https://pubmed.ncbi.nlm.nih.gov/20693389/,"Female;Humans;Male;Adolescent;Adult;Young Adult;Magnetic Resonance Imaging;Image Processing, Computer-Assisted;Photic Stimulation;Electric Stimulation;Awareness/*physiology;Fear/*psychology;Galvanic Skin Response/*physiology;Frontal Lobe/physiology;Conditioning, Psychological/*physiology;Cerebral Cortex/*physiology;Learning/physiology;Occipital Lobe/physiology",no,no,no,no,CD,118,72,23.54,2.87,yes,group,,not reported,,not reported,not reported,,yes,Greenhouse-Geisser correction,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,NA,log,NA,NA,NA,natural logarithm,yes,to normalize the data,NA,mixed,two,mixed ANOVA,rmANOVA,3,
"Sevenster, Dieuwke and Hamm, Alfons and Beckers, Tom and Kindt, Merel",2015,10.1016/j.ijpsycho.2015.09.004,Heart rate pattern and resting heart rate variability mediate individual differences in contextual anxiety and conditioned responses,International Journal of Psychophysiology,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2015-58225-006&site=ehost-live,Heart Rate;Fear conditioning;Anxiety;Conditioned Fear;Heart Rate Variability;Individual Differences;Sex differences;Heart rate;At Risk Populations;Fear potentiated startle;Heart rate variability (HRV);Skin conductance response (SCR);Subjective distress,no,no,no,no,CD,39,25,20.54,2.23,yes,both,HRV and HR pattern (accelerators vs decelerators),not reported,,not reported,not reported,,not reported,,not reported,,not reported,,not reported,,yes,not reported,Z>3,raw,raw,NA,raw,sqrt,NA,NA,NA,sqrt for SCR; HR was baseline-corrected,no,NA,trial-level,mixed,two,mixed ANOVA,rmANOVA,3,
"Tabbert, Katharina and Stark, Rudolf and Kirsch, Peter and Vaitl, Dieter",2005,10.1016/j.ijpsycho.2005.01.007,"Hemodynamic responses of the amygdala, the orbitofrontal cortex and the visual cortex during a fear conditioning paradigm",International Journal of Psychophysiology,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2005-06912-003&site=ehost-live,"Female;Humans;Galvanic Skin Response;Male;Fear;Adult;Amygdala;Magnetic Resonance Imaging;Image Processing, Computer-Assisted;Photic Stimulation;fear conditioning;amygdala;Electric Stimulation;Visual Stimulation;Conditioning (Psychology);Visual Cortex;Orbitofrontal Cortex;Cerebrovascular Circulation;Frontal Lobe;hemodynamic responses;Hemodynamics;orbitofrontal cortex;visual cortex;visual stimulus",no,no,no,no,LD,18,12,,NA,yes,group,,not reported,,not reported,not reported,,not reported,,not reported,,not reported,,not reported,,no,not reported,,NA,NA,NA,NA,raw,NA,NA,NA,NA,NA,NA,NA,within,one,t-test,ttest,3,
Sevenster D and Beckers T and Kindt M,2012,10.1016/j.nlm.2012.01.009,Retrieval per se is not sufficient to trigger reconsolidation of human fear memory.,Neurobiology of learning and memory,https://pubmed.ncbi.nlm.nih.gov/22406658/,"Female;Humans;Male;Adolescent;Adult;Cues;Memory;Electroshock;Humanism;Humanities;Association Learning/drug effects/*physiology;Fear/drug effects/*physiology;Memory/drug effects/*physiology;Conditioning, Psychological/drug effects/*physiology;Propranolol/pharmacology;Extinction, Psychological/drug effects/physiology",no,no,no,no,CD,60,41,21.08,2.61,not reported,group,,not reported,,not reported,not reported,,not reported,,not reported,,not reported,,not reported,,yes,not reported,Z>3,NA,NA,NA,raw,z,NA,NA,NA,Z transformation.,yes,to correct for differences between groups in general levels of SCR; ,,mixed,two,mixed ANOVA,rmANOVA,3,
Torrents-Rodas D and Fullana MA and Arias B and Bonillo A and Caseras X and Andión O and Mitjans M and Fañanás L and Torrubia R,2012,10.1111/j.1469-8986.2011.01352.x,Acquisition and generalization of fear conditioning are not modulated by the BDNF-val66met polymorphism in humans.,Psychophysiology,https://pubmed.ncbi.nlm.nih.gov/22404164/,"Female;Humans;Galvanic Skin Response;Male;Young Adult;Electromyography;Brain-Derived Neurotrophic Factor;Genotype;Data Interpretation, Statistical;Fear/*psychology;Humanism;Humanities;Conditioning, Psychological/*physiology;Gene Frequency;Brain-Derived Neurotrophic Factor/*genetics;Polymorphism, Genetic/*genetics;DNA/genetics;Reflex, Startle/genetics/physiology",no,no,no,no,LD,141,103,22.29,2.54,yes,group,,not reported,,not reported,not reported,,yes,Greenhouse-Geisser correction,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,t,sqrt,NA,NA,NA,sqrt for SCR; T transformation for startle,"yes, no",to normalize the data; not reported,not clearly reported,mixed,two,mixed ANOVA,rmANOVA,3,
"Shiban, Youssef and Wittmann, Jasmin and Weißinger, Mara and Mühlberger, Andreas",2015,,Gradual extinction reduces reinstatement,Frontiers in Behavioral Neuroscience,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2016-21165-001&site=ehost-live,skin conductance response;Conditioned Fear;Extinction (Learning);Classical Conditioning;Reinstatement;Aversive Stimulation;Startle Reflex;virtual reality;startle response;pavlovian fear conditioning;contingency ratings;gradual extinction,no,no,no,no,CD,31,25,24,4.69,yes,group,,not reported,,not reported,not reported,,not reported,,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,t,t,NA,NA,NA,t transofrm; t transform,no,NA,not clearly reported,mixed,two,mixed ANOVA,rmANOVA,3,
Sevenster D and Beckers T and Kindt M,2012,10.1111/j.1469-8986.2012.01450.x,Instructed extinction differentially affects the emotional and cognitive expression of associative fear memory.,Psychophysiology,https://pubmed.ncbi.nlm.nih.gov/22958209/,"Female;Humans;Galvanic Skin Response;Male;Adolescent;Adult;Young Adult;Conditioning, Psychological;Photic Stimulation;Reflex, Startle;Memory;Fear/*psychology;Extinction, Psychological/*physiology;Memory/*physiology;Cognition/*physiology;Emotions/*physiology",no,no,no,no,CD,40,31,21.75,2.6,no,group,,not reported,,not reported,not reported,,yes,Greenhouse-Geisser correction,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,z,z,NA,NA,NA,Z scores were calculated across the two testing days. ,no,NA,not clearly reported,mixed,two,mixed ANOVA,rmANOVA,3,
Soeter M and Kindt M,2012,10.1016/j.psyneuen.2012.03.011,Erasing fear for an imagined threat event.,Psychoneuroendocrinology,https://pubmed.ncbi.nlm.nih.gov/22503387/,"Female;Humans;Male;Adolescent;Fear;Adult;Young Adult;Imagination;Fear/drug effects/*psychology;Memory/drug effects/physiology;Reflex, Startle/drug effects/physiology;Extinction, Psychological/drug effects/physiology;Adrenergic beta-Antagonists/pharmacology;Galvanic Skin Response/drug effects/physiology;Anxiety/drug therapy/physiopathology/psychology;Conditioning, Classical/drug effects/physiology;Imagination/drug effects/*physiology",no,no,no,no,LD,24,21,20.9,3.5,yes,group,,not reported,,not reported,not reported,,not reported,,not reported,,not reported,,not reported,,yes,trials,> 3 SD,NA,NA,NA,raw,sqrt,NA,NA,NA,Z scores for SCR,yes,normalization of data,trial-level,mixed,two,mixed ANOVA,rmANOVA,3,
"Shiban, Youssef and Reichenberger, Jonas and Neumann, Inga D. and Mühlberger, Andreas",2015,10.3389/fpsyg.2015.00400,Social conditioning and extinction paradigm: A translational study in virtual reality,Frontiers in Psychology,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2015-36108-001&site=ehost-live,Conditioned Fear;heart rate;fear-potentiated startle;virtual reality;Virtual Reality;Social Phobia;Operant Conditioning;social fear conditioning;social anxiety;operant conditioning paradigm,no,no,no,no,LD,46,43,22,5.22,yes,group,,not reported,,not reported,not reported,,not reported,,not reported,,not reported,,not reported,,no,NA,,raw,NA,NA,t,NA,NA,NA,NA,t trasformation for startle,no,NA,not clearly reported,mixed,two,mixed ANOVA,rmANOVA,3,
Torrents-Rodas D and Fullana MA and Bonillo A and Caseras X and Andión O and Torrubia R,2013,10.1016/j.biopsycho.2012.10.006,No effect of trait anxiety on differential fear conditioning or fear generalization.,Biological psychology,https://pubmed.ncbi.nlm.nih.gov/23131617/,"Female;Humans;Galvanic Skin Response;Male;Adult;Young Adult;Electromyography;Anxiety;Risk Assessment;Conditioning, Classical/*physiology;*Fear;Reflex, Startle/physiology;Anxiety/*physiopathology/*psychology;Generalization, Psychological/*physiology",no,no,no,no,LD,126,94,21.64,2.55,yes,group,,not reported,,not reported,not reported,,yes,Greenhouse-Geisser correction,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,t,sqrt,NA,NA,NA,sqrt for scr; t transformation for startle,yes; no,normalization of data; NA,not clearly reported,mixed,one,mixed ANOVA,rmANOVA,3,
"Tröger, Christian and Ewald, Heike and Glotzbach, Evelyn and Pauli, Paul and Mühlberger, Andreas",2012,10.1007/s00702-011-0757-8,Does pre-exposure inhibit fear context conditioning? A virtual reality study,Journal of Neural Transmission,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2012-14021-012&site=ehost-live,"Emotions;Female;Humans;Computer Graphics;Galvanic Skin Response;Heart Rate;Male;Surveys and Questionnaires;Extinction, Psychological;Fear;Adult;Cues;Middle Aged;Photic Stimulation;Reflex, Startle;Electromyography;Psychometrics;Psychophysiology;Anxiety;Arousal;Conditioned Fear;heart rate;virtual reality;Virtual Reality;Electric Stimulation;cues;Conditioning (Psychology);User-Computer Interface;Data Interpretation, Statistical;Recognition (Psychology);fear context conditioning",no,no,no,no,CD,40,30,24.5,4.8,yes,group,,not reported,,not reported,not reported,,not reported,,not reported,,not reported,,not reported,,no,NA,,raw,NA,NA,t,log,NA,NA,NA,log (base 10) for SCR; t transfromation for STR,yes;no,normalization of datta; NA,not clearly reported,mixed,two,mixed ANOVA,rmANOVA,3,
