"Author","year","doi","title","journal","url","keywords","open data (yes, no)","open code (yes, no)","open material (yes, no)","preregistration yes/no","longitudinal design (LD), cross-sectional design (CD), unclear","n_with_exclusions","n_female_total","age_mean_total","age_sd_total","mental health disorder exclusion (yes, no, unclear, not reported, only control group, partially)","Was an individual level analysis conducted in the study? group/ individual level analysis, both","If an individual level analysis was conducted in the study, what was the variable of interest? (e.g. sex/ gender, STAI, IUS, BDI, multiple)","Was the normal distribution checked? answers: dependent variable, independent variable, residuals, mixed, not reported","If yes, how? (e.g., specific test or visually), if no: NA","If yes, was the normal distribution tested before or after transformation procedure? answers: before, after, both, not reported. if no: NA","Was the homoscedasticity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA...24","Was the sphericity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA...26","Was the independence of residuals checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA...28","Was the linearity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA...30","Was the multicollinearity checked? answers: yes, not reported","If yes, how?   (e.g., specific test or visually), if no: NA","outlier removal reported? yes, no (this refers to quantitative measures such as +/-3SD and not qualitative ones (artifacts, zero responses)","outlier refer to: subjects, trials, both, NA, not reported","outlier criterion (e.g., +/- 2SD; this refers to quantitative measures such as +/-2SD and not qualitative ones (artifacts, zero responses)","HR (BPM)","HRV","EMG orbicularis oculi","EMG startle","SCR","SCL","EYE tracking","PUPIL SIZE","specification of data transformation method (e.g. range correction formula), not reported (if there are multiple different specifications for multiple outcome measures, extract them all)","is there a rationale for specific data transformation procedure (e.g. guideline)? yes/ no","which rationale? (e.g. guideline/ ref/ not reported)","was the transformation applied (AND EXPLICITELY STATED IN THE METHODS SECTION) on trial level or on an average-level (across trials)/ other/ or not reported (if this is done differently for various outcome measures, indicate it)","Stastistical model: within, between or mixed design? (e.g., paired t-test = within, independent t-test = between)","If within or mixed: how many within factor levels (of largest within factor)? (e.g., two different CS stimuli = two within factors)","Main statistical test: t-test, AN(C)OVA, correlation, regression, mixed model, other (ask Perplexity.ai with copy pasting info from the method section)","Main statistical test: further specification (e.g., non-parametric test), if ANCOVA: centered covariate?, if mixed model: paste formula here, of other: name of test (e.g. chi-squared, MANOVA)","reviewer_ID","comment","...54","...1","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53"
"Sevenster D and Beckers T and Kindt M","2012","10.1111/j.1469-8986.2012.01450.x","Instructed extinction differentially affects the emotional and cognitive expression of associative fear memory.","Psychophysiology","https://pubmed.ncbi.nlm.nih.gov/22958209/","Female;Humans;Galvanic Skin Response;Male;Adolescent;Adult;Young Adult;Conditioning, Psychological;Photic Stimulation;Reflex, Startle;Memory;Fear/*psychology;Extinction, Psychological/*physiology;Memory/*physiology;Cognition/*physiology;Emotions/*physiology","no","no","no","no","CD","40","31","21.75","2.6","no","group","","not reported","","not reported","not reported","","yes","Greenhouse-Geisser correction","not reported",NA,"not reported",NA,"not reported",NA,"no",NA,"",NA,NA,NA,"z","z",NA,NA,NA,"Z scores were calculated across the two testing days. ","no",NA,"not clearly reported","mixed","two","mixed ANOVA","rmANOVA","3","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Soeter M and Kindt M","2012","10.1016/j.psyneuen.2012.03.011","Erasing fear for an imagined threat event.","Psychoneuroendocrinology","https://pubmed.ncbi.nlm.nih.gov/22503387/","Female;Humans;Male;Adolescent;Fear;Adult;Young Adult;Imagination;Fear/drug effects/*psychology;Memory/drug effects/physiology;Reflex, Startle/drug effects/physiology;Extinction, Psychological/drug effects/physiology;Adrenergic beta-Antagonists/pharmacology;Galvanic Skin Response/drug effects/physiology;Anxiety/drug therapy/physiopathology/psychology;Conditioning, Classical/drug effects/physiology;Imagination/drug effects/*physiology","no","no","no","no","LD","24","21","20.9","3.5","yes","group","","not reported","","not reported","not reported","","not reported","","not reported",NA,"not reported",NA,"not reported",NA,"yes","trials","> 3 SD",NA,NA,NA,"raw","sqrt",NA,NA,NA,"Z scores for SCR","yes","normalization of data","trial-level","mixed","two","mixed ANOVA","rmANOVA","3","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shiban, Youssef and Reichenberger, Jonas and Neumann, Inga D. and Mühlberger, Andreas","2015","10.3389/fpsyg.2015.00400","Social conditioning and extinction paradigm: A translational study in virtual reality","Frontiers in Psychology","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2015-36108-001&site=ehost-live","Conditioned Fear;heart rate;fear-potentiated startle;virtual reality;Virtual Reality;Social Phobia;Operant Conditioning;social fear conditioning;social anxiety;operant conditioning paradigm","no","no","no","no","LD","46","43","22","5.22","yes","group","","not reported","","not reported","not reported","","not reported","","not reported",NA,"not reported",NA,"not reported",NA,"no",NA,"","raw",NA,NA,"t",NA,NA,NA,NA,"t trasformation for startle","no",NA,"not clearly reported","mixed","two","mixed ANOVA","rmANOVA","3","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Torrents-Rodas D and Fullana MA and Bonillo A and Caseras X and Andión O and Torrubia R","2013","10.1016/j.biopsycho.2012.10.006","No effect of trait anxiety on differential fear conditioning or fear generalization.","Biological psychology","https://pubmed.ncbi.nlm.nih.gov/23131617/","Female;Humans;Galvanic Skin Response;Male;Adult;Young Adult;Electromyography;Anxiety;Risk Assessment;Conditioning, Classical/*physiology;*Fear;Reflex, Startle/physiology;Anxiety/*physiopathology/*psychology;Generalization, Psychological/*physiology","no","no","no","no","LD","126","94","21.64","2.55","yes","group","","not reported","","not reported","not reported","","yes","Greenhouse-Geisser correction","not reported",NA,"not reported",NA,"not reported",NA,"no",NA,"",NA,NA,NA,"t","sqrt",NA,NA,NA,"sqrt for scr; t transformation for startle","yes; no","normalization of data; NA","not clearly reported","mixed","one","mixed ANOVA","rmANOVA","3","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tröger, Christian and Ewald, Heike and Glotzbach, Evelyn and Pauli, Paul and Mühlberger, Andreas","2012","10.1007/s00702-011-0757-8","Does pre-exposure inhibit fear context conditioning? A virtual reality study","Journal of Neural Transmission","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2012-14021-012&site=ehost-live","Emotions;Female;Humans;Computer Graphics;Galvanic Skin Response;Heart Rate;Male;Surveys and Questionnaires;Extinction, Psychological;Fear;Adult;Cues;Middle Aged;Photic Stimulation;Reflex, Startle;Electromyography;Psychometrics;Psychophysiology;Anxiety;Arousal;Conditioned Fear;heart rate;virtual reality;Virtual Reality;Electric Stimulation;cues;Conditioning (Psychology);User-Computer Interface;Data Interpretation, Statistical;Recognition (Psychology);fear context conditioning","no","no","no","no","CD","40","30","24.5","4.8","yes","group","","not reported","","not reported","not reported","","not reported","","not reported",NA,"not reported",NA,"not reported",NA,"no",NA,"","raw",NA,NA,"t","log",NA,NA,NA,"log (base 10) for SCR; t transfromation for STR","yes;no","normalization of datta; NA","not clearly reported","mixed","two","mixed ANOVA","rmANOVA","3","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sokol, Nicole and Lovibond, Peter F.","2012","10.1016/j.brat.2012.02.005","Cross-us reinstatement of human conditioned fear: Return of old fears or emergence of new ones?","Behaviour Research and Therapy","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2012-10152-008&site=ehost-live","Humans;Galvanic Skin Response;Extinction, Psychological;Fear;Cues;Conditioned Fear;Reinstatement;Unconditioned Stimulus;Electroshock;Conditioning (Psychology);Cognitive Processes;Noise;Humanism;Humanities;cognitive processes;conditioned fear: unconditioned stimulus;stimulus reinstatement","no","no","no","no","LD","111","48","19.41","2.48","no","group","","not reported","","not reported","not reported","","not reported","","not reported",NA,"not reported",NA,"not reported",NA,"no",NA,"",NA,NA,NA,NA,NA,"log",NA,NA,"log transform for SCL: log10 (mean CS period SCL+1)- log10 (mean baseline SCL+1)","yes","in order to reduce variance resulting from large individual differences in raw skin conductance data","not clearly reported","within","two","rmANOVA","rmANOVA","3","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Schultz DH and Balderston NL and Geiger JA and Helmstetter FJ","2013","10.1037/a0032742","Dissociation between implicit and explicit responses in postconditioning UCS revaluation after fear conditioning in humans.","Behavioral neuroscience","https://pubmed.ncbi.nlm.nih.gov/23731073/","Humans;Adolescent;Adult;Young Adult;Analysis of Variance;Reaction Time;Photic Stimulation;Conditioning, Classical/*physiology;Fear/*physiology;Awareness/*physiology;Galvanic Skin Response/physiology;Psychophysics;Humanism;Humanities;Association Learning/*physiology;Heart Block;*Intention;Electric Stimulation/adverse effects","no","no","no","no","CD","34","19","19.5",NA,"no","group","","not reported","","not reported","not reported","","not reported","","not reported",NA,"not reported",NA,"not reported",NA,"no",NA,"",NA,NA,NA,NA,"raw",NA,NA,NA,NA,NA,NA,NA,"within","one","mixed ANOVA","rmANOVA","3","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Valdivia-Salas S and Forsyth JP and Berghoff CR and Ritzert TR","2014","10.1080/02699931.2014.883964","Using panicogenic inhalations of carbon dioxide enriched air to induce attentional bias for threat: Implications for the development of anxiety disorders.","Cognition & emotion","https://pubmed.ncbi.nlm.nih.gov/24499115/","Female;Humans;Male;Young Adult;Anxiety Disorders;Galvanic Skin Response/physiology;Attention/*physiology;Bias (Epidemiology);Conditioning, Classical/physiology;Fear/physiology/*psychology;Emotions/physiology;Nebulizers and Vaporizers;Anxiety Disorders/*etiology;Carbon Dioxide/*adverse effects;Panic/*drug effects","no","no","no","no","LD","27","14","19.81","2.3","yes","group","","not reported","","not reported","not reported","","not reported","","not reported",NA,"not reported",NA,"not reported",NA,"no",NA,"",NA,NA,NA,NA,"raw",NA,NA,NA,NA,NA,NA,NA,"within","two","rmANOVA","rmANOVA","3","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spoormaker VI and Gvozdanovic GA and Sämann PG and Czisch M","2014","10.1007/s00221-014-3831-2","Ventromedial prefrontal cortex activity and rapid eye movement sleep are associated with subsequent fear expression in human subjects.","Experimental brain research","https://pubmed.ncbi.nlm.nih.gov/24452776/","Humans;Male;Adolescent;Adult;Young Adult;Magnetic Resonance Imaging;Analysis of Variance;Image Processing, Computer-Assisted;Photic Stimulation;Electroencephalography;Eye Movements;Prefrontal Cortex;Conditioning, Classical/*physiology;Galvanic Skin Response/physiology;Polysomnography;Sleep, REM;Humanism;Humanities;*Fear;Sleep, REM/*physiology;Oxygen/blood;Electric Stimulation/adverse effects;Expressed Emotion/*physiology;Prefrontal Cortex/blood supply/*physiology","no","no","no","no","LD","18","0","23.4","2.8","yes","group","","not reported","","not reported","not reported","","yes","Greenhouse-Geisser","not reported",NA,"not reported",NA,"not reported",NA,"no",NA,"",NA,NA,NA,NA,"sqrt",NA,NA,NA,"sqrt transofrmation","yes ","to account for inter-individual SCR variability","trial-level","within","two","rmANOVA","rmANOVA","3","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Torrents-Rodas D and Fullana MA and Bonillo A and Andión O and Molinuevo B and Caseras X and Torrubia R","2014","10.1111/psyp.12213","Testing the temporal stability of individual differences in the acquisition and generalization of fear.","Psychophysiology","https://pubmed.ncbi.nlm.nih.gov/24673651/","Female;Humans;Individuality;Male;Adult;Conditioning, Psychological;Photic Stimulation;Fear/*psychology;Reflex, Startle/physiology;Generalization, Psychological/*physiology","no","no","no","no","LD","71","52","22.35","2.61","yes","group","","not reported","","not reported","not reported","","yes","Greenhouse-Geisser","not reported",NA,"not reported",NA,"not reported",NA,"no",NA,"",NA,NA,NA,NA,"sqrt",NA,NA,NA,"sqrt transformation","yes","normalization of data","not clearly reported","within","two","rmANOVA","rmANOVA","3","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Steinfurth EC and Kanen JW and Raio CM and Clem RL and Huganir RL and Phelps EA","2014","10.1101/lm.033589.113","Young and old Pavlovian fear memories can be modified with extinction training during reconsolidation in humans.","Learning & memory (Cold Spring Harbor, N.Y.)","https://pubmed.ncbi.nlm.nih.gov/24934333/","Humans;Time Factors;Cues;Memory;Conditioning, Classical/*physiology;Fear/*physiology;Behavior Therapy;Healthy Volunteers;Extinction, Psychological/*physiology;Memory/*physiology;Humanism;Humanities;Association Learning/physiology;Aversive Therapy/methods;Stress Disorders, Post-Traumatic/physiopathology/therapy","no","no","no","no","LD","80","46",NA,NA,"not reported","group","","not reported","","not reported","not reported","","not reported","","not reported",NA,"not reported",NA,"not reported",NA,"no",NA,"",NA,NA,NA,NA,"sqrt,rc",NA,NA,NA,"srqt and range corrected in relation to the mean","no",NA,"not clearly reported","between","one","t-test","ttest","3","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spring JD and Wood NE and Mueller-Pfeiffer C and Milad MR and Pitman RK and Orr SP","2015","10.1111/psyp.12326","Prereactivation propranolol fails to reduce skin conductance reactivity to prepared fear-conditioned stimuli.","Psychophysiology","https://pubmed.ncbi.nlm.nih.gov/25224026/","Female;Humans;Male;Adolescent;Adult;Young Adult;Cues;Skin;Propranolol;Adrenergic beta-Antagonists/*pharmacology;Propranolol/*pharmacology;Conditioning, Psychological/*drug effects;Fear/*drug effects;Memory/*drug effects;Galvanic Skin Response/*drug effects","no","no","no","no","LD","55","35","22.6","3.2","yes","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"sqrt",NA,NA,NA,"not reported","no","not reported","trial-level","within","8","ANOVA","rmANOVA","11","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tinoco-González D and Fullana MA and Torrents-Rodas D and Bonillo A and Vervliet B and Pailhez G and Farré M and Andión O and Perez V and Torrubia R","2015","10.1002/cpp.1883","Conditioned Subjective Responses to Socially Relevant Stimuli in Social Anxiety Disorder and Subclinical Social Anxiety.","Clinical psychology & psychotherapy","https://pubmed.ncbi.nlm.nih.gov/24464952/","Female;Humans;Male;Extinction, Psychological;Adult;Anxiety Disorders;Reflex, Startle;Electromyography;Anxiety;Arousal;Facial Expression;Fear/*psychology;Pattern Recognition, Visual;*Conditioning, Classical;Reference Values;Phobic Disorders/*diagnosis/*psychology;Agoraphobia/diagnosis/psychology;Panic Disorder/diagnosis/psychology","no","no","no","no","CD","40","39","20.85","2.42","yes","both","Social Anxiety Scale, gender","not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,"t",NA,NA,NA,NA,"within-subjects T-scores conversions","no","not reported","not reported","mixed","not reported","not reported",NA,"11","only Study2 extracted, as it has healthy participants; ANOVA type was mixed (2 between. two within-subj factors), coded as 'other'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tada M and Uchida H and Maeda T and Konishi M and Umeda S and Terasawa Y and Nakajima S and Mimura M and Miyazaki T and Takahashi T","2015","10.1371/journal.pone.0125729","Fear conditioning induced by interpersonal conflicts in healthy individuals.","PloS one","https://pubmed.ncbi.nlm.nih.gov/25978817/","Female;Humans;Adult;Interpersonal Relations;Galvanic Skin Response/physiology;Fear/*psychology;Sound;*Conflict, Psychological","no","no","no","no","CD","29","29","24","3.1","yes","both","ZAN-BPD, ERQ, NEO-PI-R, SCL-90-R","not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"not reported",NA,NA,NA,NA,NA,NA,NA,"within","2","t-test","ttest","11","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Schroijen M and Pappens M and Schruers K and Van den Bergh O and Vervliet B and Van Diest I","2015","10.1016/j.beth.2015.05.004","Generalization of Fear to Respiratory Sensations.","Behavior therapy","https://pubmed.ncbi.nlm.nih.gov/26459842/","Female;Humans;Male;Adolescent;Young Adult;Learning;Sensation;Extinction, Psychological/physiology;Conditioning, Classical/physiology;Fear/physiology/*psychology;*Respiration;Panic Disorder/*physiopathology/psychology;*Sensation","no","no","no","no","CD","43","29","18.63",NA,"unclear","group",NA,"not reported",NA,NA,"not reported",NA,"not reported","Greenhouse-Geisser","not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,"not reported","log",NA,NA,NA,"[LOG10(SCR + 1)]","no","not reported","average-level","mixed","3","ANOVA","rmANOVA","11","startle EMG collected, but not analyzed due to high percent non-responders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Starita F and Làdavas E and di Pellegrino G","2016","10.1038/srep27664","Reduced anticipation of negative emotional events in alexithymia.","Scientific reports","https://pubmed.ncbi.nlm.nih.gov/27278856/","Female;Humans;Galvanic Skin Response;Male;Adult;Conditioning, Classical;Affective Symptoms;*Fear;*Anticipation, Psychological;Affective Symptoms/*physiopathology/psychology;Transcutaneous Electric Nerve Stimulation","no","no","no","no","CD","66",NA,NA,NA,"yes","both","Toronto Alexithymia Scale (TAS-20)","dependent variable","not reported","not reported","not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"sqrt, rc",NA,NA,NA,"rc: SCR scaled to subject's max UCS response","yes","ref (Schiller et al., 2008)","not reported","mixed","2","ANOVA","rmANOVA","11","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"van 't Wout M and Mariano TY and Garnaat SL and Reddy MK and Rasmussen SA and Greenberg BD","2016","10.1016/j.brs.2016.03.004","Can Transcranial Direct Current Stimulation Augment Extinction of Conditioned Fear?","Brain stimulation","https://pubmed.ncbi.nlm.nih.gov/27037186/","Female;Humans;Male;Adolescent;Adult;Young Adult;Middle Aged;Conditioning, Classical/*physiology;Fear/*physiology;Extinction, Psychological/*physiology;Transcranial Direct Current Stimulation/*methods","no","no","no","no","CD","52",NA,NA,NA,"yes","group",NA,"dependent variable","calculating skewness & kurtosis","after","not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"sqrt",NA,NA,NA,"not reported","no","not reported","not reported","mixed","8","Linear Mixed Model","SCR∼tDCS Timing Group∗Trial Order∗Stimulus Type+(1∣Subject)","11","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sperl MFJ and Panitz C and Hermann C and Mueller EM","2016","10.1111/psyp.12677","A pragmatic comparison of noise burst and electric shock unconditioned stimuli for fear conditioning research with many trials.","Psychophysiology","https://pubmed.ncbi.nlm.nih.gov/27286734/","Female;Humans;Male;Adult;Young Adult;Conditioning, Classical/*physiology;Fear/*physiology;Extinction, Psychological/*physiology;*Electroshock;*Noise;*Research Design/standards;Behavioral Research/*methods/standards","no","no","no","no","CD","32","28","22.88","2.61","yes","group",NA,"not reported",NA,NA,"not reported",NA,"yes","Greenhouse-Geisser","not reported",NA,"not reported",NA,"not reported",NA,"yes","subjects","individual mean SCR/HP scores +/- 3 IQR",NA,NA,NA,NA,"rc",NA,NA,NA,"rc: divide SCR value by individual max SCR in each exp. phase","yes","ref (Lykken & Venables, 1971)","trial-level","mixed","3","ANOVA","other","11","Heart period (HP) should be considered under transformation columns for HR or HRV? mixed-model ANOVA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sjouwerman R and Niehaus J and Kuhn M and Lonsdorf TB","2016","10.1111/psyp.12761","Don't startle me-Interference of startle probe presentations and intermittent ratings with fear acquisition.","Psychophysiology","https://pubmed.ncbi.nlm.nih.gov/27628268/","Female;Humans;Galvanic Skin Response;Male;Fear;Adult;Young Adult;Reproducibility of Results;Self Report;*Fear;Extinction, Psychological/physiology;*Conditioning, Classical;*Reflex, Startle;*Research Design","no","no","no","no","CD","72",NA,NA,NA,"yes","group",NA,"not reported",NA,NA,"not reported",NA,"not reported","Greenhouse-Geisser","not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,"t","log, rc",NA,NA,NA,"rc: SCR/ SCR (CS_or_US_max)","no","not reported","SCR: not reported, EMG: average-level ","mixed","2","ANOVA","rmANOVA","11","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thigpen NN and Bartsch F and Keil A","2017","10.1037/xge0000283","The malleability of emotional perception: Short-term plasticity in retinotopic neurons accompanies the formation of perceptual biases to threat.","Journal of experimental psychology. General","https://pubmed.ncbi.nlm.nih.gov/28383987/","Female;Humans;Male;Young Adult;Fear/*physiology;Neuronal Plasticity/*physiology;Attention/*physiology;Bias (Epidemiology);Arousal/physiology;Avoidance Learning/physiology;Conditioning, Classical/physiology;Emotions/*physiology;Visual Cortex/*physiology;*Electroencephalography;Orientation/physiology;Visual Pathways/physiology;Visual Perception/*physiology;Autonomic Nervous System/physiology;Eye Movements/*physiology;*Signal Processing, Computer-Assisted;Retinal Neurons/*physiology","no","no","no","no","CD","17",NA,NA,NA,"unclear","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,"not reported",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"within","2","t-test","ttest","11","Only Exp1 extracted with HR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thompson A and Lipp OV","2017","10.1016/j.brat.2017.01.017","Extinction during reconsolidation eliminates recovery of fear conditioned to fear-irrelevant and fear-relevant stimuli.","Behaviour research and therapy","https://pubmed.ncbi.nlm.nih.gov/28171767/","Female;Humans;Galvanic Skin Response;Male;Adult;Young Adult;Conditioning, Classical/*physiology;Fear/*physiology;Extinction, Psychological/*physiology;Memory/*physiology","no","no","no","no","CD","56","31","24.39","7.71","unclear","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"sqrt, rc",NA,NA,NA,"rc: divide SCR value by individual max SCR","yes","ref (Lykken, 1972)","trial-level","mixed","4","ANOVA","other","11","mixed ANOVA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
