,,,,,,,,,,,,SAMPLE,SEX,AGE,,,,,REPORTING STANDARDS,,,,,,,,,,,,,,,,TRANSFORMATION,,,,,,,,,,,,,,,,,
"Herzog, Katharina and Andreatta, Marta and Schneider, Kristina and Schiele, Miriam A. and Domschke, Katharina and Romanos, Marcel and Deckert, Jürgen and Pauli, Paul",2021,10.3389/fpsyg.2021.665711,Reducing generalization of conditioned fear: Beneficial impact of fear relevance and feedback in discrimination training,Frontiers in Psychology,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2021-57723-001&site=ehost-live,Fear;fear generalization;Conditioned Fear;Stimulus Generalization;Unconditioned Stimulus;Training;Physiological Arousal;Discrimination;classical conditioning;Discrimination (Psychology);feedback;Feedback;discrimination training;fear-relevant training,no,no,no,no,CD,80,40,25.2,6.37,yes,group,BDI and STAI was assessed but not used in statistical analysis,not reported,,NA,not reported,,yes,Greenhouse–Geisser correction was applied for violation of the sphericity assumption.,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,NA,"log, rc",NA,NA,NA,"every reaction of each participant was range-corrected, i.e., divided by the individual’s strongest reaction to a face picture, i.e., CS or GS. Besides this, all SCRs were log-transformed into log10(SCR + 1).",no,NA,not reported,mixed,3,ANOVA,rmANOVA,13,
"Hu, Jingchu and Wang, Zijie and Feng, Xiaoyi and Long, Cheng and Schiller, Daniela",2019,10.1007/s00213-018-5074-6,Post-retrieval oxytocin facilitates next day extinction of threat memory in humans,Psychopharmacology,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2018-54933-001&site=ehost-live,"Female;Humans;Male;Adolescent;Extinction, Psychological;Fear;Young Adult;Anxiety Disorders;Conditioning, Classical;extinction;fear conditioning;Threat;Memory;Extinction (Learning);Memory Consolidation;reconsolidation;oxytocin;Oxytocin;Double-Blind Method;Retention (Psychology);Humanism;Humanities;MSH Release-Inhibiting Hormone;Administration, Intranasal;reactivation",no,no,no,no,CD,61,51.71,20.84,2.34,unclear,group,,not reported,,NA,not reported,,not reported,,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,NA,not reported,NA,NA,NA,,no,NA,not reported,mixed,4,ANOVA,rmANOVA,13,
"Kausche, Franziska Magdalena and Zerbes, Gundula and Kampermann, Lea and Müller, Jana Christina and Wiedemann, Klaus and Büchel, Christian and Schwabe, Lars",2021,10.3758/s13415-021-00874-0,Acute stress leaves fear generalization in healthy individuals intact,"Cognitive, Affective & Behavioral Neuroscience",https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2021-22168-001&site=ehost-live,Fear;Stress;anxiety disorders;Conditioned Fear;Stimulus Generalization;learning;Physiological Arousal;Acute Stress;Fear generalization;Adrenergic Receptors,no,no,no,no,CD,120,61,25.21,0.35 (SEM),unclear,both,"TICS, BDI-II, STAI, SIAS, PSQI",not reported,,NA,not reported,,yes,"If the sphericity assumption was violated, Greenhouse-Geisser correction was applied",not reported,,not reported,,not reported,,yes,not reported,"""Exclusion of the outliers do not affect our results.""",NA,NA,NA,NA,z,NA,NA,NA,,no,NA,not reported,mixed,4,ANOVA,rmANOVA,13,Experiment 1
"Kausche, Franziska Magdalena and Zerbes, Gundula and Kampermann, Lea and Müller, Jana Christina and Wiedemann, Klaus and Büchel, Christian and Schwabe, Lars",2021,10.3758/s13415-021-00874-0,Acute stress leaves fear generalization in healthy individuals intact,"Cognitive, Affective & Behavioral Neuroscience",https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2021-22168-001&site=ehost-live,Fear;Stress;anxiety disorders;Conditioned Fear;Stimulus Generalization;learning;Physiological Arousal;Acute Stress;Fear generalization;Adrenergic Receptors,no,no,no,no,CD,64,34,25.5,0.51 (SEM),unclear,both,"TICS, BDI-II, STAI, SIAS, PSQI",not reported,,NA,not reported,,yes,"If the sphericity assumption was violated, Greenhouse-Geisser correction was applied",not reported,,not reported,,not reported,,yes,not reported,"""Exclusion of the outliers do not affect our results.""",NA,NA,NA,NA,z,NA,NA,NA,,no,NA,not reported,mixed,4,ANOVA,rmANOVA,13,Experiment 2
Kalisch R and Holt B and Petrovic P and De Martino B and Klöppel S and Büchel C and Dolan RJ,2009,10.1093/cercor/bhn076,The NMDA agonist D-cycloserine facilitates fear memory consolidation in humans.,"Cerebral cortex (New York, N.Y. : 1991)",https://pubmed.ncbi.nlm.nih.gov/18477687/,"Female;Humans;Adult;Memory;Humanism;Humanities;Cycloserine;Fear/drug effects/*physiology;Adaptation, Physiological/drug effects/physiology;Brain/drug effects/*physiology;Conditioning, Psychological/drug effects/*physiology;Cycloserine/*administration & dosage;Mental Recall/drug effects/*physiology;N-Methylaspartate/*metabolism;Receptors, N-Methyl-D-Aspartate/*agonists",no,no,no,no,CD,32,32,,,unclear,both,,not reported,,NA,not reported,,not reported,,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,NA,z,NA,NA,NA,Data were z-transformed to account for interindividual differences in physiological reactivity (Buchel et al. 1998).,yes,"Buchel et al., 1998",not reported,mixed,6,ANOVA,rmANOVA,13,
Huff NC and Hernandez JA and Blanding NQ and LaBar KS,2009,10.1037/a0016511,Delayed extinction attenuates conditioned fear renewal and spontaneous recovery in humans.,Behavioral neuroscience,https://pubmed.ncbi.nlm.nih.gov/19634943/,"Female;Humans;Time Factors;Environment;Galvanic Skin Response;Male;Young Adult;Analysis of Variance;Photic Stimulation;Electroshock;Humanism;Humanities;*Extinction, Psychological;*Conditioning, Classical;*Fear/physiology",no,no,no,no,CD,66,31,21.65,4.55,unclear,group,,not reported,,NA,not reported,,not reported,,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,NA,"sqrt, rc",NA,NA,NA,"conditioned SCRs were square-root transformed to reduce skewness and were range corrected (LaBar et al., 2004)",yes,"LaBar et al., 2004",not reported,mixed,8,ANOVA,rmANOVA,13,
"Kinner, Valerie L. and Wolf, Oliver T. and Merz, Christian J.",2018,10.1016/j.psyneuen.2018.02.020,Cortisol increases the return of fear by strengthening amygdala signaling in men,Psychoneuroendocrinology,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2018-15663-012&site=ehost-live,Hydrocortisone;Fear;Fear extinction;Amygdala;Return of fear;Stress hormones;Glucocorticoids;Relapse;Human Males,no,no,no,no,CD,64,32,23.67,3.26,unclear,group,,not reported,,NA,not reported,,yes,Greenhouse-Geisser corrected p-values were used if assumptions of sphericity were violated,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,NA,log,NA,NA,NA,Data were log-transformed to obtain a normal distribution,no,NA,not reported,mixed,8,ANOVA,rmANOVA,13,
"Iberico, Carlos and Vansteenwegen, Debora and Vervliet, Bram and Dirikx, Trinette and Marescau, Valerie and Hermans, Dirk",2008,10.1016/j.actpsy.2007.08.001,The development of cued versus contextual conditioning in a predictable and an unpredictable human fear conditioning preparation,Acta Psychologica,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2008-03350-008&site=ehost-live,"Female;Humans;Male;Fear;Adult;Conditioning, Classical;Cues;Habituation, Psychophysiologic;Photic Stimulation;Reflex, Startle;fear conditioning;Electromyography;Conditioning;Conditioned Fear;Uncertainty;Conditioned Stimulus;Unconditioned Stimulus;unpredictability;Electroshock;Students;Humanism;Humanities;Association;contextual conditioning;cued conditioning",no,no,no,no,CD,60,51,19,2.55,not reported,group,,not reported,,NA,not reported,,not reported,,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,z,NA,NA,NA,NA,the raw scores were converted to z scores to neutralize the individual differences among the participants.,no,NA,not reported,mixed,3,ANOVA,rmANOVA,13,
"Kelly, Megan M. and Forsyth, John P.",2007,10.1016/j.beth.2006.10.007,Sex differences in response to an observational fear conditioning procedure,Behavior Therapy,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2007-18088-004&site=ehost-live,Female;Humans;Galvanic Skin Response;Male;Surveys and Questionnaires;Sex Characteristics;Fear;Adult;Sex Factors;Conditioned Fear;Simulation;electrodermal responses;Human Sex Differences;sex differences;Distress;Conditioning (Psychology);Panic Attack;Observation;distress;observational fear conditioning;mock panic attacks;modeling,no,no,no,no,CD,59,30,,,yes,group,"ASI, SFS, PANAS, STAI (not included in analysis)",not reported,,NA,not reported,,yes,the Geisser-Greenhouse degrees of freedom adjustment procedure (ε = epsilon) was applied to the repeated measures Trials factor to correct for violations of sphericity,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,NA,not reported,not reported,NA,NA,,no,NA,not reported,mixed,3,ANOVA,rmANOVA,13,age?
"Hettema, John M. and Annas, Peter and Neale, Michael C. and Kendler, Kenneth S. and Fredrikson, Mats",2003,10.1001/archpsyc.60.7.702,A twin study of the genetics of fear conditioning,Archives of General Psychiatry,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2003-06700-006&site=ehost-live,"Pictorial Stimuli;Female;Humans;Environment;Galvanic Skin Response;Male;Family;Social Environment;Extinction, Psychological;Fear;Adult;Conditioning, Classical;Association Learning;Habituation, Psychophysiologic;Multivariate Analysis;fear conditioning;Conditioning;Associative Processes;Phobic Disorders;Individual Differences;Genetics;Reinforcement (Psychology);Twins;genetics;Diseases in Twins;Twins, Dizygotic;Twins, Monozygotic;associative & nonassociative learning;environmental factors;evolutionary fear relevant;Models, Genetic;pictorial stimuli;same-sex twins",no,no,no,no,CD,346,222,,,no,,,not reported,,NA,not reported,,not reported,,not reported,,not reported,,not reported,,yes,not reported,"outliers in the upper tail of the distribution that were 3 SDs greater than the mean were removed, as they were likely experimental artifacts",NA,NA,NA,NA,"sqrt, rc",NA,NA,NA,"as the data was rightward skewed, a square-root transformation was applied to produce more normalized measures. dividing by the maximal response for that individual REF ",yes,"Lykken, 1972",not reported,mixed,,"ANOVA, structural equation models",multiple,13,age range 25-38;
"Hosoba, Tatsuya and Iwanaga, Makoto and Seiwa, Hidetoshi",2001,10.1016/S0005-7967(00)00025-5,The effect of UCS inflation and deflation procedures on 'fear' conditioning,Behaviour Research and Therapy,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2001-14879-007&site=ehost-live,"Female;Humans;Galvanic Skin Response;Male;Surveys and Questionnaires;Models, Psychological;Fear;Adult;Conditioning, Classical;Habituation, Psychophysiologic;Analysis of Variance;Acoustic Stimulation;Conditioning;Unconditioned Stimulus;Conditioned Responses;Avoidance Learning;Stimulus Intensity;19–27 yr old Ss;effect of UCS inflation & deflation procedures on fear conditioning",no,no,no,no,CD,30,18,19.5,,no,group,,not reported,,NA,not reported,,not reported,,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,NA,sqrt,NA,NA,NA,transformed to squareroots for normalization.,no,NA,not reported,mixed,2,ANOVA,rmANOVA,13,SD age not provided
"Katkin, Edward S. and Wiens, Stefan and Öhman, Arne",2001,10.1111/1467-9280.00368,"Nonconscious fear conditioning, visceral perception, and the development of gut feelings",Psychological Science,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2001-09183-003&site=ehost-live,"Attention;Female;Humans;Galvanic Skin Response;Heart Rate;Male;Adolescent;Fear;Adult;Conditioning, Classical;Awareness;Conditioning;Arousal;Subliminal Stimulation;gut feelings;conditioned fear response;Intuition;nonconscious fear conditioning;Somesthetic Perception;Unconscious (Personality Factor);visceral perception",no,no,no,no,CD,46,16,19.5,,no,group,,not reported,,NA,not reported,,not reported,,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,NA,not reported,NA,NA,NA,,no,NA,not reported,mixed,6,ANOVA,rmANOVA,13,age and sex related to sample of 36 that was analysed.
"Jones, Tanya and Davey, Graham C.",1990,10.1016/0005-7967(90)90028-H,The effects of cued UCS rehearsal on the retention of differential 'fear' conditioning: An experimental analogue of the 'worry' process,Behaviour Research and Therapy,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=1990-18981-001&site=ehost-live,"Female;Humans;Galvanic Skin Response;Male;Adolescent;Fear;Adult;Conditioning, Classical;Cues;Anxiety;Arousal;Memory;Unconditioned Stimulus;Electrical Stimulation;Retention (Psychology);Differential Reinforcement;college students;Thinking;cued rehearsal of UCS;Practice;retention of differential fear conditioning to electrodermal stimulus",no,no,no,no,CD,24,,,,no,group,,not reported,,NA,not reported,,not reported,,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,NA,rc,NA,NA,NA,all SCR values were treated with a quasi-correction factor used to aid comparison of SCR values across Ss. The formula for this is SCR/SCRmax,yes,"Lykken, 1972",not reported,within,3,ANOVA,rmANOVA,13,"""from both sexes""; age range: 18 to 27 years"
"Holt, Daphne J. and Boeke, Emily A. and Wolthusen, Rick P. F. and Nasr, Shahin and Milad, Mohammed R. and Tootell, Roger B. H.",2014,10.3389/fnhum.2014.00624,A parametric study of fear generalization to faces and non-face objects: Relationship to discrimination thresholds,Frontiers in Human Neuroscience,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2015-11022-001&site=ehost-live,Fear;generalization;learning;emotion;fear;Generalization (Learning);Face Perception;Thresholds;Discrimination (Psychology);perception;faces;Visual Discrimination,no,no,no,no,CD,71,0,24.61,0.91,yes,group,,not reported,,NA,not reported,,not reported,,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,NA,sqrt,NA,NA,NA,,no,NA,not reported,within,,t-test (paired),ttest,13,
Heitland I and Klumpers F and Oosting RS and Evers DJ and Leon Kenemans J and Baas JM,2012,10.1038/tp.2012.90,Failure to extinguish fear and genetic variability in the human cannabinoid receptor 1.,Translational psychiatry,https://pubmed.ncbi.nlm.nih.gov/23010766/,"Female;Humans;Male;Young Adult;Conditioning, Psychological;Analysis of Variance;Reflex, Startle;Alleles;Genotype;Cannabinoids;Fear/*physiology;Polymorphism, Single Nucleotide;Extinction, Psychological/*physiology;Humanism;Humanities;Sex Distribution;Receptors, Cannabinoid;Anxiety/*genetics/physiopathology;Cannabinoid Receptor Agonists/*metabolism;Endocannabinoids/*genetics/physiology;Receptor, Cannabinoid, CB1/agonists/*genetics/physiology",no,no,no,no,CD,150,90,21.6,2.4,unclear,group,"STAI, NEO (not included in analysis)",not reported,,NA,not reported,,not reported,,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,z,NA,NA,NA,NA,,no,NA,not reported,mixed,2,"ANOVA, t-test",multiple,13,
Kindt M and Soeter M,2013,10.1016/j.biopsycho.2011.09.016,Reconsolidation in a human fear conditioning study: a test of extinction as updating mechanism.,Biological psychology,https://pubmed.ncbi.nlm.nih.gov/21986472/,"Female;Humans;Male;Psychiatric Status Rating Scales;Surveys and Questionnaires;Adolescent;Adult;Young Adult;Analysis of Variance;Electromyography;Galvanic Skin Response/physiology;Fear/*psychology;Extinction, Psychological/*physiology;Humanism;Humanities;*Conditioning, Classical;Reflex, Startle/physiology;Mental Recall/*physiology",no,no,no,no,CD,40,27,21.1,3,unclear,group,,not reported,,NA,not reported,,not reported,,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,not reported,log,NA,NA,NA,SCR scores were log-transformed to normalize distributions,no,NA,not reported,mixed,12,ANOVA,rmANOVA,13,
Klucken T and Alexander N and Schweckendiek J and Merz CJ and Kagerer S and Osinsky R and Walter B and Vaitl D and Hennig J and Stark R,2013,10.1093/scan/nss005,Individual differences in neural correlates of fear conditioning as a function of 5-HTTLPR and stressful life events.,Social cognitive and affective neuroscience,https://pubmed.ncbi.nlm.nih.gov/22258800/,"Female;Humans;Life Change Events;Male;Adult;Young Adult;Brain Mapping;Magnetic Resonance Imaging;Image Processing, Computer-Assisted;Genotype;Conditioning, Classical/*physiology;Fear/*psychology;*Individuality;Oxygen/blood;Galvanic Skin Response/genetics;Serotonin Plasma Membrane Transport Proteins/*genetics;*Stress, Psychological/genetics/pathology/psychology;Brain/blood supply/pathology;DNA Mutational Analysis",no,no,no,no,CD,48,0,26.8,3,yes,group,,not reported,,NA,not reported,,not reported,,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,NA,not reported,NA,NA,NA,,no,NA,not reported,mixed,2,ANOVA,rmANOVA,13,
Hauner KK and Howard JD and Zelano C and Gottfried JA,2013,10.1038/nn.3527,Stimulus-specific enhancement of fear extinction during slow-wave sleep.,Nature neuroscience,https://pubmed.ncbi.nlm.nih.gov/24056700/,"Female;Humans;Male;Adult;Young Adult;Magnetic Resonance Imaging;Multivariate Analysis;Image Processing, Computer-Assisted;Oxygen;Photic Stimulation;Sleep;Electroshock/adverse effects;Galvanic Skin Response/physiology;Wakefulness;Extinction, Psychological/*physiology;Linear Models;Pattern Recognition, Visual;*Fear;Conditioning, Classical/physiology;Brain/blood supply/*physiology;Sleep/*physiology;Odorants",no,no,no,no,CD,18,8,24.5,3.2,unclear,group,,not reported,see Note,NA,not reported,,not reported,,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,NA,not reported,NA,NA,NA,,no,NA,not reported,,,ANOVA,,13,"sex and age reported for subsample that was included in the analysis (n = 15), later they state they used 13; Normality was checked using shapiro wilk for correlation values which were then entered to an ANOVA - unsure what to extract for statisitcal model testing the ACQ"
