,,,,,,,,,,,,SAMPLE,SEX,AGE,,,,,REPORTING STANDARDS,,,,,,,,,,,,,,,,TRANSFORMATION,,,,,,,,,,,,,,,,,,
"Mertens, Gaëtan and Raes, An K. and De Houwer, Jan",2016,10.1016/j.lmot.2015.11.001,Can prepared fear conditioning result from verbal instructions?,Learning and Motivation,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2016-18603-002&site=ehost-live,Fear;SCR;Conditioning;Conditioned Fear;Conditioned Stimulus;Expectations;Preparedness;Learning Ability;Instructions,no,no,no,no,CD,78,NA,NA,NA,not reported,group,NA,not reported,NA,not reported,not reported,NA,not reported,corrected with Greenhouse Geisser,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,"rc, sqrt",NA,NA,NA,range corrected + sqrt,yes,ref,trial level,within,6,ANOVA,rmANOVA,10,"Factor levels refer to factor ""Trial""; Aggregated Exp 1 and Exp2",
Milad MR and Orr SP and Pitman RK and Rauch SL,2005,10.1111/j.1469-8986.2005.00302.x,Context modulation of memory for fear extinction in humans.,Psychophysiology,https://pubmed.ncbi.nlm.nih.gov/16008774/,"Female;Humans;Male;Adolescent;Adult;Conditioning, Psychological;Photic Stimulation;Mental Recall;Memory;Fear/*physiology;Galvanic Skin Response/physiology;Extinction, Psychological/*physiology;Memory/*physiology;Humanism;Humanities",no,no,no,no,CD,41,21,NA,NA,yes,group,NA,not reported,NA,not reported,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,NA,sqrt,NA,NA,not reported,no,not reported,not reported,within,5,ANOVA,rmANOVA,10,"Factor levels refer to factor ""Trial""",
"Meier, Michael L. and de Matos, Nuno M. P. and Brügger, Mike and Ettlin, Dominik A. and Lukic, Nenad and Cheetham, Marcus and Jäncke, Lutz and Lutz, Kai",2014,10.3389/fnhum.2014.00526,Equal pain—Unequal fear response: Enhanced susceptibility of tooth pain to fear conditioning,Frontiers in Human Neuroscience,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2014-52025-001&site=ehost-live,Fear;Amygdala;fMRI;fear conditioning;amygdala;skin conductance response;Conditioning;Conditioned Fear;Cingulate Cortex;Medial Prefrontal Cortex;Pain;pain;dental phobia;medial prefrontal cortex (mPFC);Teeth (Anatomy);tooth,no,no,no,no,CD,21,12,32.3,8.2,partially,group,NA,not reported,NA,not reported,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt,NA,NA,NA,not reported,no,not reported,not reported,within,2,t-test,ttest,10,,
Norrholm SD and Jovanovic T and Vervliet B and Myers KM and Davis M and Rothbaum BO and Duncan EJ,2006,10.1101/lm.393906,Conditioned fear extinction and reinstatement in a human fear-potentiated startle paradigm.,"Learning & memory (Cold Spring Harbor, N.Y.)",https://pubmed.ncbi.nlm.nih.gov/17142300/,"Humans;Fear;Conditioning, Classical/*physiology;Fear/*psychology;Extinction, Psychological/*physiology;Humanism;Humanities;Set, Psychology;Reflex, Startle/*physiology;Discrimination Learning/physiology;Psychopharmacology/methods;Psychophysics/*methods",no,no,no,no,CD,45,25,29.4,1.4,yes,both,NA,not reported,NA,not reported,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,raw,NA,NA,NA,NA,not reported,no,not reported,not reported,mixed,5,ANOVA,rmANOVA,10,"Factor levels refer to factor ""BLOCK""",
Mol N and Baas JM and Grillon C and van Ooijen L and Kenemans JL,2007,10.1016/j.biopsycho.2007.05.005,Startle potentiation in rapidly alternating conditions of high and low predictability of threat.,Biological psychology,https://pubmed.ncbi.nlm.nih.gov/17644240/,"Female;Humans;Male;Adolescent;Adult;Association Learning;Electroshock;*Set, Psychology;*Fear;*Arousal;*Color Perception;*Pattern Recognition, Visual;*Reflex, Startle;*Probability Learning",no,no,no,no,CD,35,NA,NA,NA,yes,group,NA,not reported,NA,not reported,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,yes,trials,Trials in which the signal exceeded 3 mV in the baseline period were removed.,NA,NA,NA,z,NA,NA,NA,NA,"computing the average magnitude of all startle responses for each participant, then subtracting this average startle magnitude from each of the participant’s individual startle magnitudes, and then dividing the resulting values by the standard deviation across all startle magnitudes for that participant.",no,not reported,trial level,within,3,ANOVA,rmANOVA,10,"Factor levels refer to factor ""Context""",
"Milad, Mohammed R. and Goldstein, Jill M. and Orr, Scott P. and Wedig, Michelle M. and Klibanski, Anne and Pitman, Roger K. and Rauch, Scott L.",2006,10.1037/0735-7044.120.5.1196,Fear conditioning and extinction: Influence of sex and menstrual cycle in healthy humans,Behavioral Neuroscience,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2006-22387-002&site=ehost-live,"Female;Humans;Galvanic Skin Response;Male;Sex Characteristics;Extinction, Psychological;Fear;Adult;Learning;Analysis of Variance;anxiety;skin conductance response;Conditioning;Anxiety;Memory;Menstrual Cycle;Electric Stimulation;Psychophysics;Conditioning (Psychology);Estrogens;learning and memory;estrogen;Humanism;Humanities;follicular phase",no,no,no,no,CD,42,28,24.5,0.8,yes,group,NA,not reported,NA,not reported,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,raw,sqrt,NA,NA,NA,"we square-root transformed each SCR prior to analysis (for a negative SCR, the square root of the absolute value was calculated and given a negative sign).",no,not reported,not reported,mixed,4,ANOVA,rmANOVA,10,"Factor levels refer to factor ""Trial""; Aggregated Exp 1 and Exp2",
Norrholm SD and Vervliet B and Jovanovic T and Boshoven W and Myers KM and Davis M and Rothbaum B and Duncan EJ,2008,10.1037/a0012604,Timing of extinction relative to acquisition: a parametric analysis of fear extinction in humans.,Behavioral neuroscience,https://pubmed.ncbi.nlm.nih.gov/18823159/,"Female;Humans;Time Factors;Male;Adolescent;Adult;Cues;Analysis of Variance;Middle Aged;Conditioning, Classical/*physiology;Avoidance Learning/*physiology;Fear/*psychology;Extinction, Psychological/*physiology;Humanism;Humanities;Reaction Time/physiology;Reflex, Startle/*physiology;Acoustic Stimulation/adverse effects",no,no,no,no,CD,92,47,27.9,0.9,yes,group,NA,not reported,NA,not reported,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,raw,NA,NA,NA,NA,not reported,no,not reported,not reported,mixed,2,ANOVA,rmANOVA,10,,
"Mertens, Gaëtan and Wagensveld, Patrick and Engelhard, Iris M.",2019,10.1016/j.chb.2018.10.006,Cue conditioning using a virtual spider discriminates between high and low spider fearful individuals,Computers in Human Behavior,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2018-59937-021&site=ehost-live,Fear conditioning;Cues;Extinction;Conditioning;Extinction (Learning);Virtual Reality;Phobias;Acquisition;Virtual reality;Discrimination (Psychology);Computer Assisted Therapy;Spider-related fear,no,no,no,yes,CD,50,50,21.4,2.1,yes,both,"FSQ, STAI-DY-2",not reported,NA,not reported,not reported,NA,not reported,corrected with Greenhouse Geisser,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,t,"rc, sqrt",NA,NA,NA,"SCR: first range corrected, then square root transformed",yes,"SCR: guideline, EMG startle: ref",trial level,mixed,5,ANOVA,rmANOVA,10,"Factor levels refer to factor ""Trial""",
"Navarrete, Carlos David and McDonald, Melissa M. and Asher, Benjamin D. and Kerr, Norbert L. and Yokota, Kunihiro and Olsson, Andreas and Sidanius, Jim",2012,10.1016/j.evolhumbehav.2012.02.007,Fear is readily associated with an out-group face in a minimal group context,Evolution and Human Behavior,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2012-12487-001&site=ehost-live,Fear;Learning;fear;Ingroup Outgroup;Coalition Formation;coalitional psychology;fight–flight;intergroup bias;Intergroup Dynamics;minimal groups;prepared learning,no,no,no,no,CD,210,NA,NA,NA,not reported,group,NA,not reported,NA,not reported,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,"sqrt,z",NA,NA,NA,"1: sqrt, 2: dived by mean SCR followign US, 3: z-transfomr within subject",no,not reported,trial level,within,1,t-test,ttest,10,differential SCR was tested with an independent t-test against zero,
"Molapour, Tanaz and Lindström, Björn and Olsson, Andreas",2016,,Aversive learning and trait aggression influence retaliatory behavior,Frontiers in Psychology,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2016-31282-001&site=ehost-live,Learning;Conditioned Fear;Aversion;learning;Personality Traits;fear-conditioning;aggression;Aggression;Aggressive Behavior;aversive;social;anti-social;interaction;retaliation;Retaliation,no,no,no,no,CD,72,41,23.4,4,not reported,group,NA,not reported,NA,not reported,not reported,NA,not reported,corrected with Greenhouse Geisser,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt,NA,NA,NA,"1: sqrt, 2: scaled by mean square-root transformed US response",no,not reported,trial level,within,3,ANOVA,rmANOVA,10,"aggregated two experiemnts; Exp1: N = 38, Exp2: N =34",
"Marschner, Andreas and Kalisch, Raffael and Vervliet, Bram and Vansteenwegen, Debora and Büchel, Christian",2008,10.1523/JNEUROSCI.1651-08.2008,Dissociable roles for the hippocampus and the amygdala in human cued versus context fear conditioning,The Journal of Neuroscience,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2008-12769-019&site=ehost-live,"Humans;Time Factors;Galvanic Skin Response;Male;Fear;Adult;Amygdala;Hippocampus;Brain Mapping;Magnetic Resonance Imaging;Conditioning, Classical;Cues;Image Processing, Computer-Assisted;Oxygen;amygdala;Conditioned Fear;Conditioned Stimulus;Unconditioned Stimulus;hippocampus;conditioned stimulus;unconditioned stimulus;Conditioning, Operant;Humanism;Humanities;Automatic Data Processing;Heart Block;context fear conditioning;human cued conditioning",no,no,no,no,CD,19,0,29.5,9.2,unclear,group,NA,not reported,NA,not reported,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,z,NA,NA,NA,not reported,no,not reported,not reported,within,2,t-test,ttest,10,,
Meulders A and Vansteenwegen D and Vlaeyen JWS,2011,10.1016/j.pain.2011.05.015,The acquisition of fear of movement-related pain and associative learning: a novel pain-relevant human fear conditioning paradigm.,Pain,https://pubmed.ncbi.nlm.nih.gov/21723664/,"Female;Humans;Male;Adolescent;Adult;Young Adult;Fear/*physiology;Humanism;Humanities;Avoidance Learning/physiology;Association Learning/*physiology;Reaction Time/physiology;Blinking/physiology;Reflex, Startle/physiology;Conditioning, Psychological/*physiology;Movement/*physiology;Chronic Pain/*physiopathology/*psychology",no,no,no,no,CD,44,34,19,NA,yes,group,NA,not reported,NA,not reported,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,z,NA,NA,NA,NA,not reported,no,not reported,not reported,within,4,ANOVA,rmANOVA,10,"Factor levels refer to factor ""BLOCK""",
"Moratti, Stephan and Keil, Andreas and Miller, Gregory A.",2006,10.1111/j.1464-8986.2006.00386.x,Fear but not awareness predicts enhanced sensory processing in fear conditioning,Psychophysiology,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2006-06861-010&site=ehost-live,"Attention;Female;Humans;Autonomic Nervous System;Heart Rate;Male;Fear;Adult;Awareness;fear conditioning;Conditioned Fear;Evoked Potentials;heart rate;Neuroimaging;Reinforcement;Conditioning (Psychology);Data Interpretation, Statistical;Cognitive Processes;awareness;autonomic responses;cortical responses;enhanced sensory processing;Magnetoencephalography;Sensation;steady-state visual evoked fields;stimuli reinforcement",no,no,no,no,CD,20,10,25.7,NA,unclear,group,NA,not reported,NA,not reported,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,raw,NA,NA,NA,NA,NA,NA,NA,not reported,no,not reported,not reported,within,2,mixed model,other,10,,
"Moratti, Stephan and Keil, Andreas",2005,10.1016/j.cogbrainres.2005.07.006,Cortical activation during Pavlovian fear conditioning depends on heart rate response patterns: An MEG study,Cognitive Brain Research,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2005-14369-006&site=ehost-live,"Female;Humans;Time Factors;Heart Rate;Male;Surveys and Questionnaires;Fear;Adult;Brain Mapping;Conditioning, Classical;Middle Aged;Conditioned Fear;Visual Evoked Potentials;Evoked Potentials;Pavlovian fear conditioning;Cerebral Cortex;Demography;Magnetoencephalography;Functional Laterality;Cluster Analysis;cortical activation;heart rate response patterns;Likelihood Functions;neuromagnetic activity;visual evoked fields",no,no,no,no,CD,19,10,27.1,NA,unclear,group,NA,not reported,NA,not reported,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,raw,NA,NA,NA,NA,NA,NA,NA,not reported,no,not reported,not reported,within,2,mixed model,other,10,,
Merz CJ and Stark R and Vaitl D and Tabbert K and Wolf OT,2013,10.1016/j.biopsycho.2012.02.017,Stress hormones are associated with the neuronal correlates of instructed fear conditioning.,Biological psychology,https://pubmed.ncbi.nlm.nih.gov/22406758/,"Female;Humans;Male;Adult;Young Adult;Analysis of Variance;Electric Stimulation;Conditioning, Classical/*physiology;Galvanic Skin Response/physiology;Fear/*psychology;*Brain Mapping;Magnetic Resonance Imaging/methods;Brain/blood supply/*physiology;Conditioning, Operant/*physiology;Gonadal Steroid Hormones/*blood",no,no,no,no,CD,50,30,24.3,3,yes,both,cortisol,not reported,NA,not reported,not reported,NA,not reported,corrected with Greenhouse Geisser,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,log,NA,NA,NA,natural logarithm ,no,not reported,not reported,mixed,2,ANOVA,rmANOVA,10,,
"Norrholm, Seth D. and Anderson, Kemp M. and Olin, Ilana W. and Jovanovic, Tanja and Kwon, Cliffe and Warren, Victor T. and McCarthy, Alexander and Bosshardt, Lauren and Sabree, Justin and Duncan, Erica J. and Rothbaum, Barbara O. and Bradley, Bekh",2011,10.3389/fnbeh.2011.00077,Versatility of fear-potentiated startle paradigms for assessing human conditioned fear extinction and return of fear,Frontiers in Behavioral Neuroscience,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2011-29174-001&site=ehost-live,Humans;Fear;extinction;Conditioned Fear;Extinction (Learning);Posttraumatic Stress Disorder;Startle Reflex;fear;Military Veterans;Cognitive Processes;Humanism;Humanities;post traumatic stress disorder;phobias;veterans;human conditioned fear;personality traits,no,no,no,no,CD,43,20,21,0.3,yes,group,NA,not reported,NA,not reported,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,not reported,NA,NA,NA,NA,not reported,no,not reported,not reported,mixed,4,ANOVA,rmANOVA,10,"Factor levels refer to factor ""Block""",
Meulders A and Vlaeyen JW,2013,10.1016/j.jpain.2012.12.014,Mere intention to perform painful movements elicits fear of movement-related pain: an experimental study on fear acquisition beyond actual movements.,The journal of pain,https://pubmed.ncbi.nlm.nih.gov/23453562/,"Female;Humans;Male;Adolescent;Adult;Young Adult;Avoidance Learning/*physiology;Pain/*psychology;Extinction, Psychological/physiology;Conditioning, Classical/physiology;Fear/physiology/*psychology;*Intention;Anticipation, Psychological/physiology;*Movement",no,no,no,no,CD,60,53,19,2.8,yes,group,NA,not reported,NA,not reported,not reported,NA,not reported,corrected with Greenhouse Geisser,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,z,NA,NA,NA,NA,not reported,no,not reported,across trials,mixed,3,ANOVA,rmANOVA,10,,
Menz MM and Rihm JS and Salari N and Born J and Kalisch R and Pape HC and Marshall L and Büchel C,2013,10.1016/j.neuroimage.2013.03.001,The role of sleep and sleep deprivation in consolidating fear memories.,NeuroImage,https://pubmed.ncbi.nlm.nih.gov/23501052/,"Humans;Male;Adult;Young Adult;Conditioning, Classical;Memory;Sleep;Fear/*physiology;Sleep Deprivation;Polysomnography;Memory/*physiology;Sleep, REM/*physiology;*Sleep Deprivation;Sleep/physiology",no,no,no,no,CD,40,0,24.9,3.8,yes,both,REM sleep,not reported,NA,not reported,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,"log,rc",NA,NA,NA,log transformed and range corrected,yes,ref,not reported,mixed,2,t-test,ttest,10,,
Moessnang C and Pauly K and Kellermann T and Krämer J and Finkelmeyer A and Hummel T and Siegel SJ and Schneider F and Habel U,2013,10.1016/j.neuroimage.2013.03.049,The scent of salience--is there olfactory-trigeminal conditioning in humans?,NeuroImage,https://pubmed.ncbi.nlm.nih.gov/23558094/,"Female;Humans;Male;Adult;Magnetic Resonance Imaging;Conditioning, Classical/*physiology;Humanism;Humanities;*Brain Mapping;Brain/*physiology;Pain/physiopathology;Image Interpretation, Computer-Assisted;Olfactory Perception/*physiology;Trigeminal Nerve/physiology",no,no,no,no,CD,33,NA,NA,NA,yes,group,NA,not reported,NA,not reported,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,log,NA,NA,NA,Data were normalized using a log transformation (y = log10(x + 1)),no,not reported,not reported,within,4,ANOVA,rmANOVA,10,,
