co,,,,,,,,,,,,SAMPLE,SEX,AGE,,,,,REPORTING STANDARDS,,,,,,,,,,,,,,,,TRANSFORMATION,,,,,,,,,,,,,,,,,
Author,year,doi,title,journal,url,keywords,"open data (yes, no)","open code (yes, no)","open material (yes, no)",preregistration yes/no,"longitudinal design (LD), cross-sectional design (CD), unclear",n_with_exclusions,n_female_total,age_mean_total,age_sd_total,"mental health disorder exclusion (yes, no, unclear, not reported, only control group, partially)","Was an individual level analysis conducted in the study? group/ individual level analysis, both","If an individual level analysis was conducted in the study, what was the variable of interest? (e.g. sex/ gender, STAI, IUS, BDI, multiple)","Was the normal distribution checked? answers: dependent variable, independent variable, residuals, mixed, not reported","If yes, how? (e.g., specific test or visually), if no: NA","If yes, was the normal distribution tested before or after transformation procedure? answers: before, after, both, not reported. if no: NA","Was the homoscedasticity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA","Was the sphericity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA","Was the independence of residuals checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA","Was the linearity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA","Was the multicollinearity checked? answers: yes, not reported","If yes, how?   (e.g., specific test or visually), if no: NA","outlier removal reported? yes, no (this refers to quantitative measures such as +/-3SD and not qualitative ones (artifacts, zero responses)","outlier refer to: subjects, trials, both, NA, not reported","outlier criterion (e.g., +/- 2SD; this refers to quantitative measures such as +/-2SD and not qualitative ones (artifacts, zero responses)",HR (BPM),HRV,EMG orbicularis oculi,EMG startle,SCR,SCL,EYE tracking,PUPIL SIZE,"specification of data transformation method (e.g. range correction formula), not reported (if there are multiple different specifications for multiple outcome measures, extract them all)",is there a rationale for specific data transformation procedure (e.g. guideline)? yes/ no,which rationale? (e.g. guideline/ ref/ not reported),"was the transformation applied (AND EXPLICITELY STATED IN THE METHODS SECTION) on trial level or on an average-level (across trials)/ other/ or not reported (if this is done differently for various outcome measures, indicate it)","Stastistical model: within, between or mixed design? (e.g., paired t-test = within, independent t-test = between)","If within or mixed: how many within factor levels (of largest within factor)? (e.g., two different CS stimuli = two within factors)","Main statistical test: t-test, AN(C)OVA, correlation, regression, mixed model, other (ask Perplexity.ai with copy pasting info from the method section)","Main statistical test: further specification (e.g., non-parametric test), if ANCOVA: centered covariate?, if mixed model: paste formula here, of other: name of test (e.g. chi-squared, MANOVA)",reviewer_ID,comment
"Wong, Alex H. K. and Pittig, Andre",2022,10.1016/j.biopsycho.2021.108249,Avoiding a feared stimulus: Modelling costly avoidance of learnt fear in a sensory preconditioning paradigm,Biological Psychology,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2022-26954-001&site=ehost-live,Anxiety;Avoidance;Avoidance Conditioning;Conditioned Fear;Conditioned Stimulus;Costly avoidance;Fear conditioning;Higher-order conditioning;Threat;Threat anticipation,no,no,no,no,CD,50,31,26.62,7.48,not reported,both,"DASS-21 anxiety, IUS, valence ratings",not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,not reported,NA,NA,NA,NA,NA,sqrt,NA,NA,NA,Square root only (no range correction etc.),yes,"SCR: Blumenthal et al., 2005",not reported,mixed,2, Linear mixed models,other,5,
"Zorawski, Michael and Cook, Craig A. and Kuhn, Cynthia M. and LaBar, Kevin S.",2005,10.3758/CABN.5.2.191,"Sex, stress, and fear: Individual differences in conditioned learning","Cognitive, Affective & Behavioral Neuroscience",https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2005-08821-008&site=ehost-live,"Analysis of Variance;Conditioned Fear;conditioned learning;Conditioning (Psychology);Conditioning, Operant;Enzyme-Linked Immunosorbent Assay;Fear;fear conditioning;Female;Galvanic Skin Response;Human Sex Differences;Humans;Hydrocortisone;individual differences;Individual Differences;Individuality;Learning;Male;sex;Sex Characteristics;Stress;stress hormones;Stress, Physiological;Time Factors",no,no,no,no,CD,56,22,24.68,4.42,yes,individual,"Sex, cortisol",not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,yes,not reported,NA,NA,NA,NA,NA,sqrt / rc,NA,NA,NA,square root and range corrected,NA,"SCR: LaBar, Cook, Torpey, & Welsh-Bohmer, 2004; LaBar, Gatenby, Gore, LeDoux, & Phelps, 1998",average-level,mixed,2,"ANOVA , correlation",other,5,
"Young, Katherine S. and Bookheimer, Susan Y. and Nusslock, Robin and Zinbarg, Richard E. and Damme, Katherine S. F. and Chat, Iris Ka-Yi and Kelley, Nicholas J. and Vinograd, Meghan and Perez, Marcelina and Chen, Kelly and Cohen, Aileen Echiverri and Craske, Michelle G.",2021,10.1038/s41386-021-01003-8,Dysregulation of threat neurociruitry during fear extinction: The role of anhedonia,Neuropsychopharmacology,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2021-35709-001&site=ehost-live,"anhedonia;Anhedonia;Anxiety Disorders;Brain Mapping;Conditioned Fear;Conditioning, Classical;Distress;Extinction (Learning);Extinction, Psychological;Fear;fear extinction;Female;Humans;Magnetic Resonance Imaging;Major Depression;neurociruitry;threat;Threat;Young Adult",no,no,no,no,CD,272,182,19.1,0.5,yes,individual,"General Distress, Fears, Anhedonia-Apprehension",not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,yes,not reported,NA,NA,NA,NA,NA,raw,NA,NA,NA,NA,NA,not reported,not reported,mixed,2,Mixed models (multilevel modeling),multiple,5,
"Weike, Almut I. and Schupp, Harald T. and Hamm, Alfons O.",2007,10.1111/j.1469-8986.2006.00469.x,Fear acquisition requires awareness in trace but not delay conditioning,Psychophysiology,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2007-00662-019&site=ehost-live,"Adult;awareness;Awareness;Blinking;Conditioned Fear;Conditioned Stimulus;Conditioning (Psychology);contingency awareness;Data Interpretation, Statistical;delay conditioning;Electromyography;Electroshock;Facial Expression;Fear;fear acquisition;Female;Galvanic Skin Response;Humans;Male;Photic Stimulation;Startle Reflex;trace conditioning",no,no,no,no,CD,64,49,22.2,0.62,not reported,individual,“aware” or “unaware” ,residuals,"log transfomation (SCR), T-score normalization (Startle)",after,not reported,NA,yes,Greenhouse–Geisser correction,not reported,NA,not reported,NA,not reported,NA,yes,subjects,For SCR: < 0.05 μS,NA,NA,NA,t,log / rc,NA,NA,NA,"EMG: Standardized responses converted to T-scores / SCR: Â log values were range corrected by dividing each score by the participantâ€™s max response.
 
",no,NA,not reported,mixed,3,Mixed-model ANOVA,other,5,
"Varma, Mohith M. and Pitliya, Riddhi J. and Zbozinek, Tomislav D. and Shechner, Tomer and Barry, Tom J.",2021,10.1007/s10608-020-10160-x,Brief training to modify the breadth of attention influences the generalisation of fear,Cognitive Therapy and Research,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2020-74646-001&site=ehost-live,anxiety disorders;Anxiety Disorders;attention;Cognitive Generalization;Cognitive Therapy;Conditioned Fear;fear;Fear;generalisation;Test Construction,yes,yes,yes,no,CD,39,25,NA,NA,no,both,"Anxiety, depression, stress (via DASS); self-reported fear; SCR",not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt / rc,NA,NA,NA,"square root, range correction",no,NA,average-level,mixed,6,Mixed ANOVA,other,5,
"Wong, Alex H. K. and Lovibond, Peter F.",2021,10.1037/emo0000739,Breakfast or bakery? The role of categorical ambiguity in overgeneralization of learned fear in trait anxiety,Emotion,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2020-22762-001&site=ehost-live,ambiguity;Anxiety;categorical induction;Classical Conditioning;Cognitive Generalization;Conditioned Fear;Fear;fear conditioning;generalization;Shock;Stimulus Ambiguity;Stimulus Novelty;Test Construction;Threat;trait anxiety,no,no,no,no,CD,70,40,19.7,2.9,no,both,Trait anxiety (DASS-21),not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,yes,subjects,NA,NA,NA,NA,NA,NA,log,NA,NA,log,no,NA,trial-level,mixed,6,Mixed-model ANOVA,other,5,
"Vansteenwegen, Debora and Francken, Geert and Vervliet, Bram and De Clercq, Armand and Eelen, Paul",2006,10.1037/0097-7403.32.1.71,Resistance to extinction in evaluative conditioning,Journal of Experimental Psychology: Animal Behavior Processes,https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2006-00921-006&site=ehost-live,"Adolescent;Adult;Affect;affective priming;Conditioning;Conditioning (Psychology);electrodermal responding;evaluative conditioning;expectancy learning;extinction;Extinction (Learning);Extinction, Psychological;Female;Galvanic Skin Response;Humans;Learning;Male;Priming;resistance;Resistance",no,no,no,no,CD,144,114,19.25,NA,not reported,both,"SCR, RT, US-expectancy, and evaluative ratings",dependent variable,"square root, log transfomation",after,not reported,NA,yes,Greenhouse–Geisser correction,not reported,NA,not reported,NA,not reported,NA,yes,trials," Trials with reaction times <300 ms or >1,000 ms ",NA,NA,NA,NA,sqrt,NA,NA,NA,NA,no,NA,not reported,mixed,3,Exp1: Repeated-measures ANOVA / Exp2: Mixed ANOVA,other,5,
Vansteenwegen D and Iberico C and Vervliet B and Marescau V and Hermans D,2008,10.1016/j.biopsycho.2007.08.012,Contextual fear induced by unpredictability in a human fear conditioning preparation is related to the chronic expectation of a threatening US.,Biological psychology,https://pubmed.ncbi.nlm.nih.gov/17936495/,"Adolescent;Adult;Conditioning, Psychological/*physiology;Cues;Data Interpretation, Statistical;Electromyography;Electroshock;Fear/*physiology;Female;Galvanic Skin Response/physiology;Humanism;Humanities;Humans;Male;Photic Stimulation;Reflex, Startle/physiology",no,no,no,no,CD,49,23,18.81,2.26,not reported,both,"US-expectancy, FPSR, SCR",not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,raw,raw,sqrt / rc,NA,NA,NA,"SCR: Maximum range using largest unconditioned response per individual
EMG: Baseline corrected -  subtract average from 1-20 ms before probe onset
",yes,"SCR: Lykken, 1972",not reported,within,2,Repeated-measures ANOVA,rmANOVA,5,
"Yetton, Benjamin D. and Cai, Denise J. and Spoormaker, Victor I. and Silva, Alcino J. and Mednick, Sara C.",2019,10.3389/fnhum.2019.00315,Human memories can be linked by temporal proximity,Frontiers in Human Neuroscience,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2019-59105-001&site=ehost-live,Conditioned Fear;Electroconvulsive Shock;fear conditioning;Forgetting;Humanism;Humanities;Humans;Memory;memory linking;memory updating;neuronal ensemble;Neurosciences;Rodents;Shock;Temporal Frequency;temporal proximity,yes,yes,yes,no,CD,74,36,19,NA,yes,both,"SCR, HR, FPSR, memory (d-prime), and relationship between Memory A and B.",not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,yes,trials,±3 SD,raw,NA,NA,raw,raw,NA,NA,NA,NA,yes,"Castegnetti et al., 2016; Blumenthal et al., 2005",average-level,mixed,3,"Mixed linear models
",ttest,5,
"Wake, Shannon and van Reekum, Carien M. and Dodd, Helen and Morriss, Jayne",2020,10.1007/s10608-020-10113-4,The impact of intolerance of uncertainty and cognitive behavioural instructions on safety learning,Cognitive Therapy and Research,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2020-35720-001&site=ehost-live,Anxiety;CBT;Cognition;Cognitive Behavior Therapy;Conditioning;Experimental Instructions;Extinction;Extinction (Learning);Galvanic Skin Response;Intolerance of uncertainty;Intolerance of Uncertainty;Learning;Physiological Stress;Psychophysiology;Pupil (Eye);Safety;Self-Report;Threat,yes,no,yes,yes,CD,95,67,24.4,4.41,no,both,"IU, STICSA (trait anxiety)",dependent variable,skewness/kurtosis values,before,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,yes,subjects,Non-response threshold (<10% responses),NA,NA,NA,NA,sqrt / z,NA,NA,z,NA,yes,"Ben-Shakhar, 1985",average-level,mixed,2,Multilevel models (MLM),other,5,
"Wake, Shannon and Morriss, Jayne and Johnstone, Tom and van Reekum, Carien M. and Dodd, Helen",2021,10.1016/j.brat.2021.103818,"Intolerance of uncertainty, and not social anxiety, is associated with compromised extinction of social threat",Behaviour Research and Therapy,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2021-27199-001&site=ehost-live,Anxiety;Extinction (Learning);Extinction learning;Extinction retention;Galvanic Skin Response;Intolerance of uncertainty;Intolerance of Uncertainty;Retention;Skin conductance;Social anxiety;Social Anxiety;Social Learning;Threat;Threat acquisition,no,no,no,no,CD,175,175,19.6,1.39,yes,both,"Intolerance of Uncertainty (IU), Social Anxiety (SPIN), Trait Anxiety",not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,yes,subjects,≤10% response rate,NA,NA,NA,NA,sqrt / z,NA,NA,NA,"Square-root transformation, z-scoring",yes,"Standard practice to reduce skew, control for individual differences",NA,mixed,2,Mixed linear models,other,5,
"Zlomuzica, Armin and Preusser, Friederike and Schneider, Silvia and Margraf, Jürgen",2015,10.3389/fnbeh.2015.00270,Increased perceived self-efficacy facilitates the extinction of fear in healthy participants,Frontiers in Behavioral Neuroscience,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2016-19802-001&site=ehost-live,anxiety disorders;exposure therapy;extinction;Extinction (Learning);Fear;fear conditioning;self-efficacy;Self-Efficacy;self-regulation;Self-Regulation;top-down control,no,no,no,no,CD,57,29,23.8,5.35,yes,individual,"skin conductance, valence, contingency ratings",residuals,z-scored,after,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,z,NA,NA,NA,z-transformation,no,not reported,trial-level,mixed,2,mixed ANOVA,other,5,
"Vicario, Carmelo M. and Nitsche, Michael A. and Hoysted, Isabel and Yavari, Fatemeh and Avenanti, Alessio and Salehinejad, Mohammad A. and Felmingham, Kim L.",2020,10.1016/j.brs.2019.12.022,Anodal transcranial direct current stimulation over the ventromedial prefrontal cortex enhances fear extinction in healthy humans: A single blind sham-controlled study,Brain Stimulation,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2020-07486-025&site=ehost-live,Advertising;Conditioned Fear;Extinction (Learning);Humanism;Humanities;Humans;Medial Prefrontal Cortex;Posttraumatic Stress Disorder;Prefrontal Cortex;PTSD Post-traumatic Stress Disorder;Responses;SCR Skin Conductance Response;SEM Standard Error Mean;tDCS Transcranial Direct Current Stimulation;Transcranial Direct Current Stimulation;vmPFC Ventro-Medial Prefrontal Cortex,no,no,no,no,CD,32,17,24.15,NA,unclear,individual,"Group (anodal vs. sham), stimulus type (CS+ vs. CS-), SCR",not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt,NA,NA,NA,Square-root ,yes,"reduce variability (Mascha van 't Wout et al., 2016)",not reported,mixed,2,Repeated-measures ANOVA,other,5,
"Yates, Alan and Ashwin, Chris and Fox, Elaine",2010,10.1037/a0020325,Does emotion processing require attention? The effects of fear conditioning and perceptual load,Emotion,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2010-23146-001&site=ehost-live,Adolescent;attention;Attention;Conditioning;Conditioning (Psychology);Distraction;emotion processing;Emotions;Facial Expression;Fear;fear-conditioning;Female;Human Channel Capacity;Humans;Male;Mental Processes;perceptual load;Selective Attention;threat;Threat;Visual Perception;Young Adult,no,no,no,no,CD,43,29,25.2,5.18,not reported,both,"trait anxiaty, SCR",not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,yes,subjects,Error rate >3 SDs from mean,NA,NA,NA,NA,sqrt / rc,NA,NA,NA,rc: dividing each participant’s raw SCR values by that participant’s maximum SCR amplitude,yes,"to normalize distribution, Lykken, 1972
",trial-level,within,3,Repeated measures ANOVA,ttest,5,
